评论内容,fenci,主题概率,主题类型
除了一开始有点难找，找到后其实都合心意，对了前台小哥哥帅气,找到 心意 前台 帅气,"[(0, 0.0153859295), (1, 0.015386255), (2, 0.015386011), (3, 0.015385983), (4, 0.0153859295), (5, 0.015385957), (6, 0.0153859295), (7, 0.015386049), (8, 0.0153859295), (9, 0.8153679), (10, 0.01538605), (11, 0.015386046), (12, 0.015386035)]",9
服务不错，入住前前台小哥哥很贴心问我们地方是否好找，在老街区里边，环境非常好，还有特别好吃的米粉，有很多创意店适合逛逛～民宿内部装潢简约，和宣传照一样，是老房子改的；房间更加简约，挺干净，房间比较小，不过也够住了，洗漱用品是欧舒丹,不错 入住 前台 贴心 地方 好找 老街区 环境 好吃 创意 适合 逛逛 民宿 装潢 老房子 房间 干净 房间 洗漱 用品,"[(11, 0.95604163)]",11
环境超级棒，就在潮宗街里面，旁边还有个下午茶咖啡厅，拍照超好看又很安静，非常不错。房间也是很干净，定的房间有投影仪，晚上看个电影啥的超，下次还来住！,环境 宗街 下午茶 咖啡厅 拍照 好看 不错 房间 干净 房间 投影仪 电影,"[(0, 0.4943314), (8, 0.44057533)]",0
房间很干净，水温也很稳定，没有异味，床很舒服，酒店很漂亮，和小红书上面的图片没大差别，来这里拍照的人很多，老板人不错，主要是有一只小猫咪，特别可爱,房间 干净 水温 稳定 异味 舒服 酒店 很漂亮 图片 拍照 老板 不错 可爱,"[(10, 0.93406194)]",10
房间干净卫生 卫浴 投屏都不错 环境超温馨 小院优雅安静 咖啡也超好喝的哟,房间 干净 卫生 投屏 不错 环境 小院 优雅 咖啡 好喝,"[(8, 0.9160785)]",8
和图片没有差别，每天玩得累累的回到酒店主打就是一个舒适！,图片 回到 酒店 主打 舒适,"[(0, 0.0128212), (1, 0.012821702), (2, 0.012821175), (3, 0.0128210895), (4, 0.8461446), (5, 0.012821317), (6, 0.012821119), (7, 0.012821306), (8, 0.012821379), (9, 0.012821123), (10, 0.012821174), (11, 0.012821658), (12, 0.012821142)]",4
很棒，下次还会来，不论服务还是卫生都很到位，如果不热走路可以去橘子洲。,很棒 卫生 到位 走路,"[(0, 0.015385307), (1, 0.015385297), (2, 0.015385317), (3, 0.0153855635), (4, 0.015385645), (5, 0.8153752), (6, 0.015385213), (7, 0.015385437), (8, 0.015385574), (9, 0.015385318), (10, 0.015385272), (11, 0.0153851975), (12, 0.015385583)]",5
超级漂亮的房间和环境！很出片，服务态度也好好！,漂亮 房间 环境 服务态度,"[(0, 0.015385496), (1, 0.015385529), (2, 0.01538544), (3, 0.015385507), (4, 0.015385467), (5, 0.015385469), (6, 0.01538539), (7, 0.015385554), (8, 0.8153738), (9, 0.015385394), (10, 0.0153854275), (11, 0.015385954), (12, 0.015385549)]",8
房间布置温馨，灯光柔和，干净整洁，感受非常好！,房间 布置 灯光 柔和 干净 整洁 感受,"[(4, 0.88460934)]",4
厕所干湿没有分离，其他都没有问题,厕所 干湿 分离,"[(0, 0.019232016), (1, 0.5273147), (2, 0.26113236), (3, 0.019232016), (4, 0.019232016), (5, 0.019232016), (6, 0.019232016), (7, 0.019232092), (8, 0.019232016), (9, 0.019232221), (10, 0.019232264), (11, 0.019232016), (12, 0.0192322)]",1
前台的小哥哥小姐姐态度都很好，房间很赞,前台 态度 房间,"[(0, 0.019231167), (1, 0.7692256), (2, 0.01923131), (3, 0.019231258), (4, 0.019231124), (5, 0.019231124), (6, 0.019231142), (7, 0.0192313), (8, 0.01923122), (9, 0.019231208), (10, 0.0192311), (11, 0.019231185), (12, 0.019231219)]",1
房间很干净，装修的也很好哦，,房间 干净 装修,"[(0, 0.01923108), (1, 0.019231146), (2, 0.01923119), (3, 0.01923111), (4, 0.019230971), (5, 0.01923111), (6, 0.019231098), (7, 0.7692267), (8, 0.019231215), (9, 0.019231189), (10, 0.019231038), (11, 0.019231081), (12, 0.019231103)]",7
住的很舒服，小哥哥人很好,舒服,"[(0, 0.038462732), (1, 0.038462557), (2, 0.03846186), (3, 0.03846212), (4, 0.038461808), (5, 0.038462233), (6, 0.03846264), (7, 0.0384624), (8, 0.038462985), (9, 0.038462177), (10, 0.5384518), (11, 0.038462702), (12, 0.03846201)]",10
入住很开心。下次回继续,入住 开心,"[(0, 0.0256425), (1, 0.025641888), (2, 0.025642674), (3, 0.025641585), (4, 0.025642302), (5, 0.025642373), (6, 0.025641624), (7, 0.02564242), (8, 0.025642158), (9, 0.025642235), (10, 0.6922935), (11, 0.025642201), (12, 0.02564251)]",10
没有照片美，,照片,"[(0, 0.038462535), (1, 0.038462535), (2, 0.038463023), (3, 0.038462535), (4, 0.038462535), (5, 0.5384483), (6, 0.038462535), (7, 0.038462635), (8, 0.038462535), (9, 0.038462535), (10, 0.038462535), (11, 0.03846281), (12, 0.038463008)]",5
独自一人来长沙旅行，三晚住蜗牛院子，一共住了三房型，很惊喜... 可以看出店家是很懂生活情趣的细节控，安静的小院，舒适度满分的床...颜值在线的床品... 重工的木质家具。而且小院很安全，就在朝宗街消防局旁边，以及距离20的茶颜... 。房间很干净...打扫的阿姨也很亲切... 这里地理位置非常优越 距离五一广场商圈步行即可，四通八达，距离地铁站也很近，长沙很好，蜗牛院子也很棒，下次一定会再来,蜗牛 院子 房型 惊喜 店家 情趣 细节 小院 舒适度 颜值 床品 木质 家具 小院 消防局 距离 房间 干净 打扫 亲切 地理位置 优越 距离 商圈 步行 距离 地铁站 蜗牛 院子 很棒,"[(3, 0.9702213)]",3
很温馨的一家民宿 设施完善 很多小细节特别到位 床垫很舒服 床单被单也很亲肤 喜欢的家居风格 很有家的感觉 有个小院子 不拥挤 闹中取静住得很惬意 老板人很好 入住送拿铁和美式 很好喝,民宿 设施 完善 细节 到位 床垫 舒服 床单 被单 亲肤 喜欢 家居 风格 感觉 院子 拥挤 惬意 老板 入住 美式 好喝,"[(0, 0.9580394)]",0
出行很方便位置很好，睡了一晚没有吵闹声，闹中取静的位置，停车场旁边就是客栈，出来就有茶颜，吃饭喝咖啡的都有，门口路上的杀猪粉不错 不得不说床品非常舒服 我们住三楼有平台，要是植物再多点就完美了。房间干净整洁，客栈的咖啡也不错,出行 位置 吵闹声 位置 停车场 客栈 吃饭 杀猪 不错 床品 舒服 平台 植物 完美 房间 干净 整洁 客栈 咖啡 不错,"[(8, 0.956041)]",8
喜欢蜗牛院子原因有三：      首先，亲切 。“蜗牛”是曾用昵称，因为总是慢悠悠（比如一个月以后的这条评论） 。推开叮叮当当的木门，小小狗子汪汪大声呐喊欢迎，随后帅哥哥招呼我到咖啡店，前台被巧妙地收纳到操作台里，当时漂亮老板在教小哥深烘豆的冲泡细节，院子的快乐从第一口咖啡开始蔓延开来。       第二，用心。每一间房都有属于自己的名字，根据户型作不同的布置，细节控表现在每一处。比如她会花一下午纠结店里某角落的罗汉床要不要换成高低柜，她换了，又想换回去了…哈哈哈此处应有掌（）声。       第三，自在。像回宿舍，晚归走后门回悄咪咪上楼。我住的房间甚至可以从窗户进，不合适不要学。舒适，品质品味审美极其舒服。       非要挑毛病的话，淋浴间水外溢，楼梯间木头处有一丢丢异味，隔壁栋装修开工太早，但，地段环境价格全五星，毕竟老板是开咖啡店的顺带做个民宿，还做得如此优秀。       五月微凉的初夏，潮宗街隔离了喧嚣，晚上的蜗牛院子愈发安静，适合旅途中慢下来过一天日子，不当特种兵，就喝杯咖啡嗦个粉聊个天。临走赶时间拎着大帅哥麻溜儿完成的外带冰美式，无比感动。        最后很抱歉户外圆桌的污渍给大家添麻烦了，的确是油污不是胶水哈哈哈,喜欢 蜗牛 院子 原因 亲切 蜗牛 昵称 评论 推开 木门 呐喊 招呼 咖啡店 前台 巧妙 收纳 漂亮 老板 小哥 冲泡 细节 院子 快乐 咖啡 蔓延 开来 用心 名字 户型 布置 细节 表现 纠结 店里 角落 换成 高低柜 换回去 应有 宿舍 晚归 走后门 房间 窗户 合适 舒适 品质 品味 舒服 挑毛病 淋浴间 外溢 楼梯间 木头 处有 异味 装修 开工 地段 环境 价格 老板 咖啡店 顺带 民宿 优秀 微凉 隔离 喧嚣 蜗牛 院子 适合 旅途 日子 特种兵 喝杯 咖啡 临走 外带 美式 无比 感动 抱歉 圆桌 污渍 油污 胶水,"[(3, 0.98950946)]",3
​好爱这家蜗牛院子​这巷子里密密麻麻的房子很像高中在师大画画时那一片的味道​我猜这个老板应该也是个画画的​不然怎么能把这里做到如此的合心意​连院子里的大丽花都像开在了心窝子上​长沙的变化是翻天覆地的​南站的地铁三十分钟居然能穿越读书时候呆过的几个校区​那时候坐着公交车慢慢摇是多么的遥远​当年的河西破破烂烂 如今自成新城​湘江大道晚上已经灯火通明俨然不夜城​潮宗街上却可以踩着青石板路走个岁月漫长​早上可以踢踏着拖鞋下去嗦一碗米粉​也可以端着电脑到咖啡厅跟老板聊聊天​难怪这里会成为网红城市,蜗牛 院子 巷子 房子 画画 味道 老板 画画 心意 院子 开在 心窝子 地铁 穿越 读书 校区 公交车 遥远 自成 大道 灯火通明 俨然 青石板路 漫长 踢踏 拖鞋 电脑 咖啡厅 老板 网红,"[(7, 0.9702179)]",7
感受得到民宿老板蛮有想法。 全屋实木家具，中古的调调，床品和备品也都很有品质，连沐浴露的香味都很好闻。一楼就是咖啡馆，闲来没事坐在那里很舒服，也很适合和朋友聊天。 出门就是潮宗街，很有特色的改造街区，吃喝玩乐都有，而且没什么网红打卡，坐在街口吹个风都很惬意。 推荐入住。,感受 民宿 老板 想法 全屋 木家具 调调 床品 备品 品质 香味 好闻 一楼 咖啡馆 没事 坐在 舒服 适合 朋友 出门 特色 改造 网红 打卡 坐在 惬意 推荐 入住,"[(1, 0.9681665)]",1
可以说很惊喜啦！非常好的环境和格调，还有咖啡送！觉对超值！五星好评妥妥的！下次有机会来长沙还是要住在这里,惊喜 环境 格调 咖啡 觉对 超值 好评 妥妥 机会 要住,"[(4, 0.9160797)]",4
非常漂亮的民宿酒店！房间住的很舒服，楼下的公共区域也很出片。酒店附近有很多有趣的小店，地理位置去哪里都很近！有,漂亮 民宿 酒店 房间 舒服 区域 酒店 有趣 小店 地理位置,"[(11, 0.91608053)]",11
嘿嘿，一次很不错的民宿体验，房间设施用的都是质量比较好的产品，用的很放心 风格也是我很喜欢的复古风 下次来长沙还想住这里！,不错 民宿 体验 房间 设施 质量 产品 放心 风格 喜欢 想住,"[(9, 0.9230729)]",9
第一次遇到，好像是我乱闯进别人的院子，不是我去给钱消费的，进去没人搭理你，说办入住，一来就让你给房间原价的押金，现在酒店都很少要求押金，很惊讶但是也遵守规则，说是离店原路退回，带你办入住，老板说了不下三次要安静，我们也遵守规则，十二点不到提醒我们退房，我们也遵守规则，可是你们呢，办理离店手续迟迟不对押金，微信询问不回复，一句话，你在忙呀，真的是好笑，不想做民宿干脆不要开了，做服务行业多累呀，你们还要约束别人,好像 闯进 院子 给钱 搭理 说办 入住 就让 房间 原价 押金 酒店 押金 惊讶 离店 原路 退回 入住 老板 不到 提醒 退房 办理 离店 手续 押金 询问 回复 好笑 不想 民宿 服务行业,"[(0, 0.97202605)]",0
民宿很棒，咖啡好喝，房间里的软硬件都很好,民宿 很棒 咖啡 好喝 房间,"[(0, 0.0128209), (1, 0.012820959), (2, 0.012820953), (3, 0.012821157), (4, 0.012820955), (5, 0.01282087), (6, 0.012820846), (7, 0.012820926), (8, 0.84614855), (9, 0.012821018), (10, 0.012820932), (11, 0.0128209), (12, 0.0128210215)]",8
先说优点，房间家具硬件包括一楼咖啡厅其实都还好，看得出不是随意糊弄是认真投资做民宿的。但是，服务就是没有服务可言，也是第一次住民宿，收到冷冷的一长串警告，其实也没什么，算是提醒。但是店家自己提醒别人勿喧哗！自己组团打麻将到凌晨1-2点是不是就有点过分了。说实话订的价格不便宜，有一种爱住不住，你按我的规矩来，我的规矩我说了算的感觉。长沙这座曾经读了四年书工作后早起惦记着回来的地方，令人失望。,优点 房间 家具 硬件 包括 一楼 咖啡厅 还好 看得出 糊弄 民宿 可言 民宿 收到 一长串 警告 算是 提醒 店家 提醒 喧哗 组团 打麻将 过分 价格 便宜 不住 规矩 规矩 感觉 早起 惦记着 回来 地方 失望,"[(3, 0.9743565)]",3
环境设施很舒服，温馨，外面还有个院子，感觉很适合情侣晚上小酌，应该也会很浪漫。,环境 设施 舒服 院子 感觉 适合 情侣 浪漫,"[(1, 0.8974283)]",1
意外的好，长沙以后只住这里！！！,意外,"[(0, 0.0384671), (1, 0.0384671), (2, 0.0384671), (3, 0.5383943), (4, 0.0384671), (5, 0.0384671), (6, 0.0384671), (7, 0.03846767), (8, 0.0384671), (9, 0.0384671), (10, 0.0384671), (11, 0.0384671), (12, 0.0384671)]",3
美式咖啡:很好，很不错,美式 咖啡 不错,"[(0, 0.019231994), (1, 0.019231865), (2, 0.019231832), (3, 0.019232117), (4, 0.019231942), (5, 0.019231783), (6, 0.019232089), (7, 0.019231796), (8, 0.019232055), (9, 0.019231947), (10, 0.76921684), (11, 0.01923189), (12, 0.019231856)]",10
比较安静，风格独特,风格 独特,"[(0, 0.025642997), (1, 0.02564319), (2, 0.025643026), (3, 0.025642933), (4, 0.025642965), (5, 0.025643015), (6, 0.025642905), (7, 0.02564294), (8, 0.025642963), (9, 0.6922842), (10, 0.025642985), (11, 0.025642905), (12, 0.02564293)]",9
我们在6下午三点十六分的时候在携程当场下单并入住了这间民宿，上楼之后大概十分钟以内我们觉得房间不满意就下来与店家协商退房。店家表示因为我们已经入住了，没有证据显示我们没有弄脏房间内的东西，他们需要清洁，我也表示理解，愿意出违约金补偿，出清洁费用100并且表示可以帮他们打扫干净，我一直秉持着友好协商的态度去和女店家协商沟通，但是女店家态度强硬，阴阳怪气，并且说出“你们真搞笑”等带有攻击性的话语，让作为入住的客人没有感受到被尊重，身为客人我们没有说店家的一句不是，但是女店家却对客人妄言置评。试问，经历了店家这样子的恶劣的服务态度还如何在这里安然住下呢？如果店家一直是友好协商的态度并且不对我们进行人身攻击，那我能接受退不了房的事实。在这种情况下，我就直接问店家要怎样可以退房，女店家说我们需要赔偿300元，当天的房费也就318元（包含如果给予好评会返现100），当我对这个赔偿金不满意时，我知道长沙民宿的清洁费用大概就是60-80，女店家表示他们两个人的人工费就是这么贵，需要300。我有在平台上看到他们有挂出钟点房4个小时220元的价格，但是女店家一脸别像表示你去试试看你定不定的到。我们还是坚持退房，并缴纳了300元。我们与店家尝试沟通未果，她拒绝沟通，并让我们来找携程与她交涉。我们找了携程客服，客服表示从入住到退房40分钟左右收取300元确实太贵了，也对我的经历表示抱歉，携程补偿了60元，店家没有任何形式的道歉和补偿。蜗牛院子在长沙也有几家店，民宿环境很重要，服务口碑同时也很重要。蜗牛院子在潮宗街闹中取静，我也是看到了小红书后前来的。我就把最真实的经历分享给大家，入住一间民宿一定要先看差评，我在看了这家民宿的过往评论以后，发现店家与另外给予差评的两个人客人也发生了争执，并且言语透露出来的都是不尊重与怼人。我相信这不应该是一个民宿的服务人员应有的服务态度（哪怕你是老板，调子也不能这么高）既然面对的是客人，那就应该要顾及客人的感受。,携程 下单 并入 民宿 房间 满意 店家 协商 退房 店家 入住 证据 显示 弄脏 房间内 清洁 理解 违约金 清洁 费用 打扫 干净 秉持着 友好 协商 态度 店家 协商 沟通 店家 态度强硬 说出 搞笑 带有 攻击性 话语 入住 客人 感受 尊重 身为 客人 店家 店家 客人 妄言 置评 试问 经历 店家 样子 恶劣 服务态度 住下 店家 友好 协商 态度 接受 事实 情况 店家 退房 店家 赔偿 房费 包含 给予 好评 返现 赔偿金 满意 民宿 清洁 费用 店家 人工费 平台 挂出 小时 价格 店家 试试看 退房 缴纳 店家 沟通 未果 拒绝 沟通 携程 交涉 携程 客服 客服 入住 退房 收取 确实 经历 抱歉 携程 店家 形式 道歉 蜗牛 院子 民宿 环境 口碑 蜗牛 院子 宗街 书后 经历 分享 入住 民宿 看差 民宿 评论 发现 店家 给予 差评 客人 发生 争执 透露 尊重 民宿 人员 应有 服务态度 老板 调子 面对 客人 顾及 客人 感受,"[(2, 0.9934984)]",2
推广过来了 1性价比不高，江景相对于这个房型就只有一点点 2过来的时候店家知道我们是开车的，让我们停在他们楼下的停车场，并没有说他们家不包停车费的事情，停车费比都贵，这是我第一次住酒店要自付停车费，还高达百元。我真的很生气，因为我可以在其他地方停车的。 只能说就在解放西，真的很方便而已,推广 性价比 江景 房型 店家 开车 停车场 停车费 事情 停车费 酒店 自付 停车费 生气 地方 停车 只能 解放,"[(12, 0.95141256)]",12
姐妹们 在长沙遇到了我的梦中情屋，真的太漂亮啦，超喜欢这白色简约的装修，家具用品提供的超充足，甚至连蒸汽眼罩，耳塞，漱口水贴心提供，老板简直不要太贴心 民宿位置离市中心都好近。步行个几分钟，文和友，坡子街，美食节，国金中心，印象城都能到。出行连地铁都省了，简直不要太，下次还来！,姐妹 情屋 喜欢 白色 装修 家具用品 提供 充足 蒸汽 眼罩 耳塞 漱口水 贴心 提供 老板 贴心 民宿 位置 市中心 步行 文和友 坡子 美食节 国金 中心 印象 出行 地铁,"[(0, 0.9681676)]",0
法式风情，与江景相遇的完美之旅！藏在五一广场烟火气息里的宝藏民宿位于长沙市中心地带，周边商业中心区，窗外江景尽收眼底，周围逛街玩乐方便！-进入屋内，精致的洛可可式水晶灯和质感十足的家具瞬间吸引了我的注意力还有绿植、壁炉、浴缸、罗马柱和江景落地窗，让我有一种穿越到法式电影中的感觉-躺下泡澡 看看窗外江景船只来往这一晚注定是心动且难忘的,法式 风情 江景 相遇 完美 烟火 气息 民宿 位于 中心地带 商业 江景 逛街 玩乐 精致 水晶灯 质感 家具 吸引 注意力 壁炉 浴缸 江景 落地窗 穿越 法式 电影 感觉 泡澡 江景 船只 来往 注定 心动 难忘,"[(10, 0.97435683)]",10
房间整体不错的，在18楼，可以看到湘江和橘子洲，搭配清爽舒适，大床也舒服，卫生用品配备齐全，阿姨每天按需增加，每天倒垃圾。需要改进的是窗帘灰尘好大，孩子一扬灰尘到处飘，只有一样沙发不够的，可以增放两个折叠椅子放在库房，有需要取用，洗澡的位置没有灯就放了个应急灯，需要每天充电。一边房间是开放的，有点嘈，在厅里说话都听的很清楚，空调有点嘈，比较在床头。其他都很好，很靠近商业街，吃饭很方便，就是人太多了，老要排队，有需要还会住。,房间 整体 不错 搭配 清爽 舒适 大床 舒服 卫生用品 配备 增加 垃圾 改进 窗帘 灰尘 孩子 灰尘 增放 折叠 椅子 放在 库房 取用 洗澡 位置 充电 房间 开放 厅里 说话 空调 床头 靠近 商业街 吃饭 排队,"[(0, 0.97505)]",0
位置一流，下楼就是五一广场，楼下 和星巴克，附近还有好几条逛吃的街，叫...总之还可以步行去国金广场。阳台可以看到湘江和橘子洲头。 另外 服务棒棒哒 必须点赞 沟通十分顺畅，打电话也随时在线。 唯一有点美中不足，晚上睡觉可以听到楼下酒吧一条街的低音炮…倒是也没怎么影响睡眠，哈哈。 哎，每天都在外面玩，没怎么拍照片，从住的地方步行出来的照片附上几张。,位置 一流 下楼 步行 国金 广场 阳台 棒棒 沟通 顺畅 睡觉 听到 酒吧 一条街 低音炮 睡眠 拍照片 从住 地方 步行 照片,"[(12, 0.95803815)]",12
地理位置极好 位于长沙市中心地界周边就是商业中心区 逛街玩乐十分方便- 讲究的陈设贯彻每一处细节 以及绿植 壁炉 浴缸 罗马柱 江景落地窗既浪漫又舒适～生活用品一应俱全 值得推荐,地理位置 位于 中心 地界 商业 逛街 玩乐 贯彻 细节 壁炉 浴缸 江景 落地窗 浪漫 舒适 生活用品 值得 推荐,"[(9, 0.95141244)]",9
环境干净卫生，离市中心近，非常适合出游住宿。楼下步行十分钟内就是各大商圈。商家特别贴心，除了必备生活用品还准备了眼罩耳塞漱口水，房间里还有洗衣机和洗衣凝珠。装修也很好，推荐，下次来还定这家。,环境 干净 卫生 市中心 住宿 步行 商圈 商家 贴心 必备 生活用品 眼罩 耳塞 漱口水 房间 洗衣机 洗衣 装修 推荐 还定,"[(7, 0.9560398)]",7
房间是真的舒适又漂亮，而且准备的用具也很面面俱到，找不到的时候前台小姐姐还下来接人，体验感非常好！离地铁站也很近哦，去哪都方便～,房间 舒适 漂亮 用具 不到 前台 体验 地铁站,"[(12, 0.8974295)]",12
房间干净大气，空气清新，落地窗可观风景很好，设施陪套完备。地段很好就在市中心附近，周围也很安静睡得很香,房间 干净 大气 落地窗 可观 风景 设施 完备 地段 市中心,"[(4, 0.9160793)]",4
服务超级棒，客服郗郗小姐姐，热情周到，和姐妹们旅行时正好是下雨天，给我免费升级了 房间很适合小姐妹们出游，房间内部浑然一体，设计也非常清新时尚；物品齐全，有洗衣机、投影仪，床头还有耳塞真的贴心。位置就在坡子街，旁边各种商厦也很多，到网红打卡点都非常近，超级推荐,客服 姐妹 正好 下雨天 房间 适合 姐妹 房间 清新 时尚 物品 洗衣机 投影仪 床头 耳塞 贴心 位置 坡子 商厦 打卡 推荐,"[(12, 0.95803875)]",12
好看出片，它这边竟然还有洗脸巾和漱口水！ 浴缸准备了一次性泡澡袋，床边还有耳塞和蒸汽眼罩！太贴心了,洗脸 漱口水 浴缸 泡澡 床边 耳塞 蒸汽 眼罩 贴心,"[(5, 0.52971524), (7, 0.38566124)]",5
民宿在海信广场旁边距离周边商业街非常近，楼下就是太平街，坡子街。距离橘子洲地铁一个站，逛下来反而觉得五一广场那边不方便呢。环境一级棒，布草干净 ，有蒸汽眼罩，耳塞，洗脸巾提供，吹风机是戴森的，饮用水是。浴缸有一次性浴缸袋不用担心卫生问题。面镜有灯很亮，全身镜也有。服务：管家小姐姐十分给力，入住接送到房，入住期间解答解决问题十分快速，有泡澡的泡腾球提供。,民宿 广场 距离 商业街 坡子 距离 地铁 逛下来 环境 干净 蒸汽 眼罩 耳塞 洗脸 提供 吹风机 饮用水 浴缸 浴缸 不用 担心 卫生 面镜 全身 管家 入住 接送 入住 解答 解决问题 泡澡 泡腾球 提供,"[(5, 0.9728491)]",5
房间卫生比干净，有干湿拖鞋，4人住空间足够，服务态度很好，照顾周到，周边吃喝玩乐都方便，总体满意，下次去长沙还会住这里！,房间 卫生 干净 干湿 拖鞋 空间 足够 服务态度 照顾 周到 总体 满意,"[(7, 0.9289886)]",7
环境很好，入住体验感超棒，满满的服务细节，有提供耳塞和蒸汽眼罩，不得不说长沙民宿真的很卷，下次来长沙打算试试他家其他房型,环境 入住 体验 细节 提供 耳塞 蒸汽 眼罩 民宿 打算 房型,"[(0, 0.9230708)]",0
还不错，小姐妹出行很适合，贴心的连洗脸巾、蒸汽眼罩都准备好了，下雨天外面的雨声有点响，所以有准备耳塞。,不错 姐妹 出行 适合 贴心 洗脸 蒸汽 眼罩 下雨天 雨声 耳塞,"[(5, 0.9230737)]",5
第二次入住啦 这次是不同的房间 真的很满意！离市中心也好近,入住 房间 满意 市中心,"[(0, 0.015385043), (1, 0.015384992), (2, 0.01538516), (3, 0.01538505), (4, 0.015385167), (5, 0.015384973), (6, 0.015385135), (7, 0.81537926), (8, 0.015385077), (9, 0.015385066), (10, 0.015384971), (11, 0.015385044), (12, 0.0153851025)]",7
下楼就是解放西市中心，位置很方便！！收拾得也很干净！！,下楼 解放 市中心 位置 收拾 干净,"[(0, 0.010989973), (1, 0.010989934), (2, 0.010990126), (3, 0.010989887), (4, 0.010989934), (5, 0.010990092), (6, 0.010989943), (7, 0.010990004), (8, 0.010990017), (9, 0.010989998), (10, 0.010989892), (11, 0.010989986), (12, 0.8681202)]",12
服务员很热情，服务非常好 环境，卫生都不错,服务员 热情 环境 卫生 不错,"[(0, 0.012820934), (1, 0.012821114), (2, 0.0128209675), (3, 0.012821068), (4, 0.012820942), (5, 0.012821031), (6, 0.8461483), (7, 0.012821036), (8, 0.012820934), (9, 0.012820898), (10, 0.012820951), (11, 0.012820992), (12, 0.0128208455)]",6
拍照好看 床很大很舒适,拍照 好看 很大 舒适,"[(0, 0.015385197), (1, 0.015385239), (2, 0.015385277), (3, 0.01538511), (4, 0.015385207), (5, 0.015385189), (6, 0.01538518), (7, 0.01538546), (8, 0.81537735), (9, 0.015385301), (10, 0.015385182), (11, 0.01538507), (12, 0.015385262)]",8
房间很棒！很满意,房间 很棒 满意,"[(0, 0.01923115), (1, 0.019231148), (2, 0.019231237), (3, 0.769225), (4, 0.019231658), (5, 0.019231101), (6, 0.019231316), (7, 0.01923131), (8, 0.019231295), (9, 0.019231154), (10, 0.019231135), (11, 0.019231165), (12, 0.019231305)]",3
设施：还行吧 卫生：一般吧，灰尘挺厚，阿姨打扫很敷衍 环境：隔音差的一塌糊糊，要安静入睡的不要选这里 服务：有，但不多 价格跟实际住宿体验不相符，慎入,设施 还行 卫生 灰尘 挺厚 打扫 敷衍 环境 隔音 糊糊 入睡 价格 住宿 体验 相符 慎入,"[(7, 0.9456936)]",7
地理位置非常好，下楼对面就是知名米粉店。去几个夜市也都非常近。房型是复式，楼上通风不太好，空调有点脏，房间有两个洗手间好评，淋浴房只有一个。管家服务非常好，到的很晚把我们接到房间里，发信息也都是第一时间响应。,地理位置 下楼 对面 知名 米粉店 夜市 房型 复式 通风 不太好 空调 房间 洗手间 好评 淋浴房 管家 接到 房间 信息 时间 响应,"[(5, 0.95803887)]",5
房间整体都挺满意的，房间也挺干净的。服务也挺满意的，长沙無宿城市民宿-郗郗特别热情，到了民宿还发了一些简单的攻略给到我。民宿的位置很好不管去哪里都很方便。,房间 整体 满意 房间 干净 满意 無宿 民宿 热情 民宿 还发 简单 攻略 民宿 位置,"[(2, 0.9423051)]",2
服务很好，房间很干净，床也舒服。几个闺蜜都很满意，出门就是吃吃吃，去哪都方便,房间 干净 舒服 闺蜜 满意 出门,"[(0, 0.010989495), (1, 0.010989529), (2, 0.010989549), (3, 0.010989565), (4, 0.010989553), (5, 0.010989487), (6, 0.010989797), (7, 0.0109896045), (8, 0.010989565), (9, 0.010989489), (10, 0.010989493), (11, 0.8681254), (12, 0.0109895)]",11
特别棒的民宿，客服小姐姐特别好帮忙拿行李 及时提供服务 笑容好美的,民宿 客服 帮忙 行李 提供 笑容,"[(0, 0.010989574), (1, 0.010989568), (2, 0.010989696), (3, 0.010989604), (4, 0.010989579), (5, 0.01098956), (6, 0.010989634), (7, 0.010989539), (8, 0.010989545), (9, 0.010989561), (10, 0.010989518), (11, 0.010989538), (12, 0.8681251)]",12
是一家很值得打卡的民宿 去之前也是做了很久的攻略 毕竟出门在外住的舒适还是会提升幸福感 到了房间真的有被惊艳到和图片上面一模一样 一点都不失真 而且管家小姐姐姐也非常贴心 每次问都会很耐心的一一回复  重点是真的卫生非常干净！！出来住在最注重的就是卫生  设计得也很好 体验感挺好的！朋友来的话绝对推荐,值得 打卡 民宿 攻略 舒适 提升 房间 惊艳 图片 失真 管家 姐姐 贴心 耐心 回复 重点 卫生 干净 注重 卫生 体验 朋友 推荐,"[(12, 0.9615354)]",12
非常好！地段很好，去哪里都很方便～房东人也很好！朋友聚会住这里很合适～,地段 房东 朋友 聚会 合适,"[(0, 0.012821946), (1, 0.012821894), (2, 0.012821842), (3, 0.012821914), (4, 0.01282262), (5, 0.012821823), (6, 0.012822161), (7, 0.012821932), (8, 0.012821883), (9, 0.012821891), (10, 0.012822007), (11, 0.012821884), (12, 0.8461362)]",12
位置不错 到哪都很近 房间挺大 房间门口有扇门进出比较多晚上有点吵,位置 不错 房间 房间 扇门 进出,"[(0, 0.01098968), (1, 0.010989655), (2, 0.010989656), (3, 0.010989636), (4, 0.01098964), (5, 0.010989629), (6, 0.010989815), (7, 0.010989665), (8, 0.010989756), (9, 0.01098968), (10, 0.010989683), (11, 0.010989658), (12, 0.8681238)]",12
