评论,fenci,情感分类,主题概率,主题类型
轻便，电池使用时间长，速度也可以，看码率5以下的264，720视频质量尚可。其他功能不错。,轻便 电池 时间 速度 码率 视频 质量 尚可 功能 不错,pos,"[(0, 0.015291636), (1, 0.015295142), (2, 0.45504487), (3, 0.48375586), (4, 0.015261002), (5, 0.015351517)]",3
电池续航不错.,电池 续航 不错,pos,"[(0, 0.041780077), (1, 0.04176875), (2, 0.7907976), (3, 0.04209936), (4, 0.04178118), (5, 0.041773066)]",2
电脑的优点在于持续时间长久的电池，正常使用6个小时足够,电脑 优点 持续时间 长久 电池 小时 足够,pos,"[(0, 0.020924179), (1, 0.02094994), (2, 0.8952554), (3, 0.020990698), (4, 0.02094529), (5, 0.020934481)]",2
续航能力强！,续航 能力,pos,"[(0, 0.055888213), (1, 0.055721138), (2, 0.72065204), (3, 0.056362044), (4, 0.05569936), (5, 0.0556772)]",2
电池好，屏幕好,电池 屏幕,pos,"[(0, 0.055788517), (1, 0.05600644), (2, 0.7203922), (3, 0.056227587), (4, 0.05570066), (5, 0.055884566)]",2
价格比中关村便宜，电池容量真不错，看电影在6个小时左右，外形比较喜欢，个人觉得比10好看，屏幕色彩不错,价格比 中关村 便宜 电池容量 真不错 电影 小时 外形 喜欢 好看 屏幕 色彩 不错,pos,"[(0, 0.012114039), (1, 0.011992765), (2, 0.9396375), (3, 0.012092961), (4, 0.012125037), (5, 0.012037706)]",2
轻巧，外观和图片一样的，我喜欢,轻巧 外观 图片 喜欢,pos,"[(0, 0.033494737), (1, 0.033460356), (2, 0.8325986), (3, 0.033369057), (4, 0.03354464), (5, 0.033532556)]",2
点： 全黑外观适合男人用，看着有质感，做工还是不错的，键盘、电池、风扇这些都很满意,全黑 外观 适合 男人 看着 质感 做工 不错 键盘 电池 风扇 满意,pos,"[(0, 0.0129233375), (1, 0.012928944), (2, 0.9354199), (3, 0.012902258), (4, 0.012877129), (5, 0.012948386)]",2
很轻，几乎没有噪音，连硬盘转的声音都几乎听不见。配置主流，用相关软件测试了，温度在今天这么热的天气也只有39。做工很精细，外表没的说，让人有一种爱不释手的感觉。确实是一款难得的笔记本。,噪音 硬盘 声音 听不见 配置 主流 相关 软件测试 温度 天气 做工 精细 外表 没的说 一种 爱不释手 感觉 确实 一款 笔记本,pos,"[(0, 0.9599006)]",0
外观漂亮，电池很牛！外观漂亮，电池很牛！外观漂亮，电池很牛！外观漂亮，电池很牛！,外观 漂亮 电池 外观 漂亮 电池 外观 漂亮 电池 外观 漂亮 电池,pos,"[(0, 0.012872596), (1, 0.012860328), (2, 0.9355471), (3, 0.012900687), (4, 0.012892877), (5, 0.012926356)]",2
待机时间长，尽管没有用到9小时，但已经算够可以的了。性能对于处理办公软件足够了。,待机时间 用到 小时 算够 性能 办公 软件 足够,pos,"[(0, 0.018660072), (1, 0.018682027), (2, 0.90650475), (3, 0.018732024), (4, 0.018595329), (5, 0.01882586)]",2
笔记本发货速度快，整体设置合理，第一次买三星这个品牌，比想象的好。,笔记本 发货 速度 整体 设置 第一次 三星 品牌 想象,pos,"[(0, 0.016895408), (1, 0.016754763), (2, 0.016805286), (3, 0.016721949), (4, 0.016806882), (5, 0.91601574)]",5
全黑外观适合男人用，看着有质感，做工还是不错的，键盘、电池、风扇这些都很满意。,全黑 外观 适合 男人 看着 质感 做工 不错 键盘 电池 风扇 满意,pos,"[(0, 0.012922454), (1, 0.012928865), (2, 0.93542945), (3, 0.012902153), (4, 0.012877115), (5, 0.012939946)]",2
1.轻便小巧，做工比较精致；,轻便 小巧 做工 精致,pos,"[(0, 0.033534404), (1, 0.033698358), (2, 0.0336963), (3, 0.033881273), (4, 0.033598505), (5, 0.8315912)]",5
"轻,速度还可以,电池续航能力强,正常使用8个小时没问题.键盘够大,大字的时候感觉不错,随机配的软件功能很好.各种功能都有.",速度 电池 续航 能力 小时 键盘 大字 感觉 不错 随机 软件 功能 功能,pos,"[(0, 0.011988138), (1, 0.011965057), (2, 0.9399879), (3, 0.012023105), (4, 0.011971476), (5, 0.012064287)]",2
正品，包装没有开封过。：我上次买了个手机，包装都是打开了的。运行速度快，散热好！还送了包包和内存条！把附送的内存条装上运行速度快了很多！,正品 包装 开封 上次 手机 包装 打开 运行 速度 散热 包包 内存条 附送 内存条 运行 速度,pos,"[(2, 0.29941306), (5, 0.6610433)]",5
做工不错。音响音质不错！散热过得去！京东送货还行，我15下单17号上午就收到。（在这儿加点。这款机器的显卡说实话太低了，不过，机器给人的感觉沉稳，坚固！另补一点。左掌托处，有点松！再就是电池，拿出来一看就知道不行，比我天逸的还小！京东不送鼠标不爽，还有字数限制何时能改！）,做工 不错 音响 音质 不错 散热 过得去 京东 送货 下单 上午 收到 加点 机器 显卡 说实话 机器 感觉 沉稳 坚固 一点 左掌托 再就是 电池 一看 不行 天逸 京东 鼠标 不爽 字数 何时能,pos,"[(1, 0.61525357), (2, 0.36434713)]",1
是我的首选品牌，质量可靠，性能优越，售后人性化，各个方面都很满意！,首选 品牌 质量 可靠 性能优越 售后 人性化 各个方面 满意,pos,"[(0, 0.6488442), (1, 0.28401613), (2, 0.016788207), (3, 0.016705953), (4, 0.016876908), (5, 0.016768588)]",0
又单独加了条2的内存（非专用），性能稳定，使用了快一个月，没什么问题,单独 内存 专用 性能 稳定 一个月 没什么,pos,"[(0, 0.2845596), (1, 0.020944659), (2, 0.34308743), (3, 0.30933645), (4, 0.021060491), (5, 0.021011354)]",2
大品牌，值得信赖，功能很全很强大，手感重量等都适中，用了几天了，感觉很好,品牌 值得 信赖 功能 强大 手感 重量 适中 几天 感觉,pos,"[(0, 0.47068518), (1, 0.015231325), (2, 0.46807572), (3, 0.015399756), (4, 0.015361512), (5, 0.015246504)]",0
京东处理速度很快；屏幕没的说；键盘手感好（主要奔着这点买的这么品牌）；有摇杆；,京东 处理速度 很快 屏幕 没的说 键盘 手感 品牌 摇杆,pos,"[(0, 0.64223814), (1, 0.016770797), (2, 0.016840458), (3, 0.29060462), (4, 0.016753316), (5, 0.016792692)]",0
外观倒是延续的一贯风格，键盘也很舒服。整体相应还是不错的，尤其是加了1内存后。,外观 延续 一贯 风格 键盘 舒服 整体 不错 内存,pos,"[(0, 0.016882405), (1, 0.016743744), (2, 0.422272), (3, 0.016828638), (4, 0.016759953), (5, 0.51051325)]",5
价格合理，硬件和软件的隐含价值很大，物超所值。特别是赠送了1的内存，价格上不说，免去了的烦恼。,价格合理 硬件 软件 隐含 价值 很大 物超所值 特别 赠送 内存 价格 免去 烦恼,pos,"[(0, 0.012029918), (1, 0.011969039), (2, 0.012109815), (3, 0.939866), (4, 0.012029248), (5, 0.011995974)]",3
性价比很高，就是没有恢复盘，要用户自己备份，好像都不再提供恢复盘了吧,性价比 恢复 用户 备份 好像 提供 恢复,pos,"[(0, 0.021011787), (1, 0.021050565), (2, 0.89453095), (3, 0.0211942), (4, 0.02120657), (5, 0.021005886)]",2
就是不一样啊。这一款性价比很高。就是只有一个盘，还得自己分区。麻烦。运行效果都不错啊。~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~,一款 性价比 分区 麻烦 运行 效果 不错,pos,"[(0, 0.02092366), (1, 0.02096751), (2, 0.35393777), (3, 0.021074764), (4, 0.020962419), (5, 0.56213385)]",5
"散热非常好,外观也很大气.如果不是家中有两台电脑了的话,真的还想再买一台用.",散热 外观 很大 家中 两台 电脑 真的 一台,pos,"[(0, 0.018610125), (1, 0.018615708), (2, 0.018813541), (3, 0.018646745), (4, 0.018721167), (5, 0.90659267)]",5
外观时尚，使用很好，三天的全天开机工作测试和四天的正常使用，没有出现问题，第一步已经通过了，估计是不会出问题了。呵呵,外观 时尚 三天 全天 开机 工作 测试 四天 第一步 估计,pos,"[(0, 0.015342142), (1, 0.015293462), (2, 0.015456643), (3, 0.015372478), (4, 0.9232512), (5, 0.015284047)]",4
此本做工非常好。人见人爱，花见花开啊。,做工 人见人爱 花见花,pos,"[(0, 0.041998953), (1, 0.04222213), (2, 0.0421533), (3, 0.041976076), (4, 0.7896664), (5, 0.041983157)]",4
618买的，我一直在用华硕，外观很漂亮，16：9的宽屏看高清确实挺爽！一切配置都恰到好处。,华硕 外观 很漂亮 高清 确实 挺爽 配置 恰到好处,pos,"[(0, 0.0187722), (1, 0.22146702), (2, 0.46927583), (3, 0.018752087), (4, 0.018623715), (5, 0.25310916)]",2
"京东上门自提的,服务和配货速度还不错,原装未开封的,机器还算满意,性价比很不错,外形也满意.",京东 上门 自提 服务 配货 速度 不错 原装 开封 机器 满意 性价比 不错 外形 满意,pos,"[(0, 0.010560377), (1, 0.010546611), (2, 0.9473514), (3, 0.010476529), (4, 0.010466988), (5, 0.010598099)]",2
外观很漂亮，自己把内存扩成2，装的正版系统，速度很快。我平面设计的，用了一周没发现问题。,外观 很漂亮 内存 扩成 正版 系统 速度 很快 平面设计 一周 发现,pos,"[(0, 0.013996329), (1, 0.01401615), (2, 0.9300149), (3, 0.013979456), (4, 0.013948617), (5, 0.014044564)]",2
自带了一堆鸡肋软件。配置还算均衡，虽然是芯片组---我怀疑这就是热源。。,自带 一堆 鸡肋 软件 配置 均衡 芯片组 怀疑 热源,pos,"[(0, 0.2879364), (1, 0.016870433), (2, 0.016928423), (3, 0.4042845), (4, 0.01673976), (5, 0.25724047)]",3
价廉物美，2999买到这个配置，很多买了上网本的朋友都说值。自己装了+3+7+11，驱动上官网自己下载安装的，过程很顺利。运行非常流畅，安装了2003、 、等常用软件后仍然保持良好的性能。,价廉物美 买到 配置 上网 朋友 驱动 上官 下载安装 过程 顺利 运行 流畅 安装 常用软件 保持良好 性能,pos,"[(5, 0.95062417)]",5
稳定、噪音小、发热也小，屏幕看起来很舒服，亮而不刺眼，感觉很润。键盘手感也不错。,稳定 噪音 发热 屏幕 舒服 亮而不 刺眼 感觉 键盘 手感 不错,pos,"[(0, 0.013966308), (1, 0.013963532), (2, 0.9299886), (3, 0.01408397), (4, 0.013955125), (5, 0.014042452)]",2
轻巧，手感不错，按键弹性很强，滚珠阻尼略有点大，可防止误操作~,轻巧 手感 不错 按键 弹性 滚珠 阻尼 误操作,pos,"[(0, 0.018619675), (1, 0.018601233), (2, 0.90693206), (3, 0.018676452), (4, 0.018573938), (5, 0.018596627)]",2
限量版的，意义非同寻常，而且价格也不算太贵，虽然比同配置的机型贵了几百元，但是对于球迷的我来说还是值得的。该电脑的配置眼前一亮，一改以往限量版机器给人感觉性能差的印象，该机性能强劲，无论显卡还是都给人留下了深刻的印象，应付目前市面上所有游戏都绰绰有余。应付影音更是不在话下。,限量版 意义 非同寻常 价格 不算 太贵 比同 配置 机型 几百元 球迷 值得 电脑 配置 眼前一亮 以往 限量版 机器 感觉 性能 印象 该机 性能 强劲 显卡 留下 深刻 印象 应付 市面上 游戏 绰绰有余 应付 影音 更是 不在话下,pos,"[(0, 0.89039046), (3, 0.09138447)]",0
轻、薄对于200那就不用太多评价了，赠送的包包相当的范儿，皮质的很有商务的感觉,不用 评价 赠送 包包 范儿 皮质 商务 感觉,pos,"[(0, 0.019149892), (1, 0.018921418), (2, 0.018663775), (3, 0.018699722), (4, 0.018602872), (5, 0.90596235)]",5
话说已经成为国货好几年了，但是黑迷们始终认定人家是的东西,国货 好几年 黑迷 始终 认定 东西,pos,"[(0, 0.023930635), (1, 0.88026005), (2, 0.024013352), (3, 0.023902794), (4, 0.02393918), (5, 0.023953957)]",1
今天共到手，正在试用，总体感觉良好，送了个的外置，还没来得及试用。,到手 试用 总体 感觉良好 外置 试用,pos,"[(0, 0.023952201), (1, 0.023887841), (2, 0.024198573), (3, 0.02385517), (4, 0.8800476), (5, 0.024058606)]",4
我已经用了2个多月了，性能不错，稳定，如果要很快速度的话，在这个价位，我想比较难了。不过可以说，这台手提要有的都有了，内存就少一点，所以我另外换了一条2的内存条。8400的处理器速度还可以，各个功能部件都十分好用，而且挺轻便的，现在去那都拿着。160的硬盘还够用，建议大的东西放在移动硬盘。我买了个9芯的电池，续航能力超强，可以达到7-8小时的普通运作，标配的4芯就只能用2个小时多。,多月 性能 不错 稳定 很快 速度 价位 手提 要有 内存 一点 一条 内存条 处理器 速度 功能 部件 轻便 硬盘 还够用 建议 东西 放在 移动硬盘 电池 续航 能力 超强 小时 运作 标配 只能 小时,pos,"[(2, 0.97528744)]",2
不过因为之前有买过联想笔记本，所以应该不会有什么问题，再加上又送那么多东西。,联想 笔记本 东西,pos,"[(0, 0.7900514), (1, 0.041937213), (2, 0.042306457), (3, 0.041901223), (4, 0.041904733), (5, 0.04189897)]",0
轻便，不过12的本散热还是个问题，用时间长了，键盘附近热气袭人。整体感觉不错，不过硬盘没分区只有一个盘，1跑兼职就是扯淡，建议其他朋友加到2以上。预装的软件有点多，开机有点慢，不过可以接受，建议优化下启动项。,轻便 散热 时间 键盘 热气 整体 感觉 不错 硬盘 分区 兼职 扯淡 建议 朋友 加到 预装 软件 开机 接受 建议 优化 启动项,pos,"[(0, 0.34659067), (5, 0.6241281)]",5
第一次在京东购物，就选择了这样一个大件，结果并没有让我失望；样子很经典；性能还是不错的。,第一次 京东 购物 选择 大件 失望 样子 经典 性能 不错,pos,"[(0, 0.015308338), (1, 0.015320004), (2, 0.58349943), (3, 0.015228743), (4, 0.35536775), (5, 0.015275749)]",2
轻便、小巧、做工优秀、运算速度较快，符合大品牌的形像，细节考虑十分周到。,轻便 小巧 做工 优秀 运算 速度 符合 品牌 形像 细节 周到,pos,"[(0, 0.014122809), (1, 0.014159745), (2, 0.014020386), (3, 0.01412086), (4, 0.0139762275), (5, 0.9296)]",5
机器工艺、设计很好，虽然是12寸宽屏，依然很轻薄，的风范依旧。,机器 工艺 设计 依然 轻薄 风范 依旧,pos,"[(0, 0.43407005), (1, 0.020917675), (2, 0.4818932), (3, 0.021126842), (4, 0.020911435), (5, 0.021080807)]",2
机器做工很好，设计很内联，依然有的风范。轻薄做得很好。包装非常严谨，显示效果还不错。送的包感觉做工不错。,机器 做工 设计 内联 依然 风范 轻薄 包装 严谨 显示 效果 不错 感觉 做工 不错,pos,"[(0, 0.010514431), (1, 0.010471021), (2, 0.9475665), (3, 0.010476183), (4, 0.01046956), (5, 0.010502276)]",2
1、非常轻，电源也小，平时是放在大包里背来背去的，这下负重减轻多了，爽~原来用的是戴尔的12寸，跟小黑比起来就重的多， 2、噪音低，运转基本没什么声音 3、散热好，连续长时间使用温度也不高,电源 平时 放在 大包 背来 背去 负重 减轻 戴尔 小黑 噪音 运转 没什么 声音 散热 连续 长时间 温度,pos,"[(2, 0.20848511), (3, 0.7562161)]",3
虽然价格比同类其它品牌产品偏贵，但更轻，可见集成度更好,价格比 同类 品牌 产品 偏贵 更轻 集成度 更好,pos,"[(0, 0.018908035), (1, 0.906555), (2, 0.018718038), (3, 0.018604524), (4, 0.018615052), (5, 0.018599369)]",1
的品牌，相当的值得购买；轻薄、性能优越；送货相当快啊，晚上10点下单，第二天下午3点就到了，京东的服务还是不错的，表扬一下。,品牌 值得 购买 轻薄 性能优越 送货 晚上 下单 第二天 下午 京东 服务 不错 表扬,pos,"[(0, 0.9439759), (1, 0.011174215), (2, 0.011271356), (3, 0.011152236), (4, 0.011277569), (5, 0.011148751)]",0
轻，装上了赠品一的内存，速度真是快，很是不错，也就没必要去改成了,装上 赠品 内存 速度 不错 改成,pos,"[(0, 0.0241414), (1, 0.024107005), (2, 0.8794112), (3, 0.024181485), (4, 0.024064714), (5, 0.024094176)]",2
星期六上午9点多定的货，当天下午4点多到手，没有任何催促，可以说是非常之快了，很感谢！,星期六 上午 当天 下午 到手 催促 感谢,pos,"[(0, 0.8951467), (1, 0.021042515), (2, 0.020942777), (3, 0.02088714), (4, 0.021011036), (5, 0.020969788)]",0
买之前一直在12和14寸间犹豫，太重或屏幕太小,寸间 犹豫 太重 屏幕 太小,pos,"[(0, 0.028032085), (1, 0.8603452), (2, 0.027935248), (3, 0.027873032), (4, 0.02791332), (5, 0.027901132)]",1
1、非常轻，电源也小，平时是放在大包里背来背去的，这下负重减轻多了，爽~原来用的是戴尔的12寸，跟小黑比起来就重的多，,电源 平时 放在 大包 背来 背去 负重 减轻 戴尔 小黑,pos,"[(0, 0.0152452905), (1, 0.015313339), (2, 0.015407909), (3, 0.92362916), (4, 0.015201692), (5, 0.015202623)]",3
机器小巧轻便，感觉很皮实，经常出差就能感受轻便的感觉太爽了，无线上网用起来的感觉真的太棒了，在家可以用免费上网，信号还不错，正考虑是否取消宽带,机器 小巧 轻便 感觉 皮实 出差 感受 轻便 感觉 太爽了 无线 上网 感觉 真的 太棒了 在家 免费 上网 信号 不错 取消 宽带,pos,"[(4, 0.96342057)]",4
与其他品牌相比，具有很大的比较优势。尤其是散热和静音，更是其他品牌无法企及的。,品牌 相比 很大 优势 散热 静音 更是 品牌 企及,pos,"[(0, 0.016891219), (1, 0.016788319), (2, 0.91579664), (3, 0.016830705), (4, 0.016863525), (5, 0.01682962)]",2
小巧，轻便。。。感谢京东这2次发货时间很快，当天就发了。。难得啊，以前都要弄个好长时间~,小巧 轻便 感谢 京东 发货 时间 很快 当天 好长时间,pos,"[(0, 0.40667987), (1, 0.016936127), (2, 0.016882746), (3, 0.016866507), (4, 0.016869584), (5, 0.5257652)]",5
真的很轻薄，配个内胆包直接塞在自己平时用的包里都没问题。送的包包挺有档次的，做工也不错，毕竟是原装的，但是实在不是偶喜欢的风格，所以就舍弃了。呵呵~,真的 轻薄 内胆 平时 包里 包包 档次 做工 不错 原装 实在 喜欢 风格 舍弃,pos,"[(0, 0.011219832), (1, 0.011187718), (2, 0.51242226), (3, 0.011215606), (4, 0.442729), (5, 0.0112256175)]",2
1、外观靓丽，性能稳定，散热好，带有的金字招牌,外观 靓丽 性能 稳定 散热 带有 金字招牌,pos,"[(0, 0.020881513), (1, 0.020889856), (2, 0.89536226), (3, 0.02094797), (4, 0.020886296), (5, 0.021032125)]",2
的本本还是不错的 虽然因为成本的原因精简了很多， 但从外观及速度上还是可以的，性价比高 这个价钱值,本本 不错 成本 原因 精简 外观 速度 性价比 价钱,pos,"[(0, 0.016776547), (1, 0.016734764), (2, 0.9161425), (3, 0.016754627), (4, 0.01678597), (5, 0.016805554)]",2
呵呵，一分钱一分货，公司用，公司的本本也分三六九等，这些本是给新人用的，配置差不多，不爱坏就好。,一分钱 一分货 公司 公司 本本 三六九等 新人 配置,pos,"[(0, 0.018605681), (1, 0.018597476), (2, 0.018702202), (3, 0.01862066), (4, 0.018548703), (5, 0.90692526)]",5
"轻薄,外观典雅,内敛,除了内存外其他配置还不错,好在送了1条1内存条.散热好,噪音极小,运行起来几乎听不到声音.机器稳定性也不错.",轻薄 外观 典雅 内敛 内存 配置 不错 内存条 散热 噪音 极小 运行 不到 声音 机器 稳定性 不错,pos,"[(2, 0.9534233)]",2
犹豫了很久，终于下决心买了。外观挺漂亮。附带的操作系统也漂亮。总体感觉不错,犹豫 很久 终于 下决心 外观 漂亮 附带 操作系统 漂亮 总体 感觉 不错,pos,"[(0, 0.268994), (1, 0.13677686), (2, 0.5554623), (3, 0.012875073), (4, 0.01293685), (5, 0.01295496)]",2
"东西上午拿到了,和之前买的另一款400的样子一样,就是比它慢一点,不知道质量好不好,现在还没有发现问题东西还行,现在使用了半天还没有发现问题,就是慢一点",东西 上午 拿到 一款 样子 一点 质量 好不好 发现 东西 半天 发现 一点,pos,"[(0, 0.012035898), (1, 0.31764394), (2, 0.012061556), (3, 0.63419014), (4, 0.012029314), (5, 0.012039119)]",3
很轻携带很方便，各方面都非常棒。赠品质量也非常好,携带 赠品 质量,pos,"[(0, 0.04207025), (1, 0.042028736), (2, 0.7904226), (3, 0.04189783), (4, 0.041875944), (5, 0.04170466)]",2
强大，做工不错， 系列的技术真是不错！集成显卡，跑了一下306，得了792分，看高清没问题，魔兽世界也没问题，极品飞车还没试呢，据说800*600下效果全开会很流畅！,强大 做工 不错 系列 技术 不错 集成显卡 高清 魔兽 世界 极品飞车 没试 效果 开会 流畅,pos,"[(0, 0.010452262), (1, 0.010453543), (2, 0.9476232), (3, 0.010522786), (4, 0.010461592), (5, 0.010486657)]",2
强大，做工不错，  系列的技术真是不错！集成显卡，跑了一下306，得了792分，看高清没问题，魔兽世界也没问题，极品飞车还没试呢，据说800*600下效果全开会很流畅！,强大 做工 不错 系列 技术 不错 集成显卡 高清 魔兽 世界 极品飞车 没试 效果 开会 流畅,pos,"[(0, 0.010452263), (1, 0.010453545), (2, 0.9476215), (3, 0.0105244415), (4, 0.010461594), (5, 0.01048666)]",2
小黑 还是不错的~做工绝对一流棒~性能也很强大~很强大~内存无所谓了，可以自己加~哈哈~抢购的，不错,小黑 不错 做工 一流 性能 强大 强大 内存 无所谓 抢购 不错,pos,"[(0, 0.013948639), (1, 0.013948065), (2, 0.93015844), (3, 0.014030258), (4, 0.013935224), (5, 0.013979423)]",2
强劲，拥有400的绝大部分技术，不是400能比的。还有蓝牙和刻录机。,强劲 拥有 绝大部分 技术 能比 蓝牙 刻录机,pos,"[(0, 0.02095481), (1, 0.020869646), (2, 0.021377854), (3, 0.02096092), (4, 0.021620667), (5, 0.8942161)]",5
强悍，8600　2的，散热好，机子基本不发热，顶上还有键盘灯，有内置的麦克风。基本上对得起这个价钱，我还是抢购时抢的。服务人员服务很周到，买到看了一下预装的系统，不到20分钟，就换操作系统了。,强悍 散热 机子 发热 顶上 键盘 内置 麦克风 对得起 价钱 抢购 服务 人员 服务 周到 买到 预装 系统 不到 分钟 操作系统,pos,"[(2, 0.31880376), (5, 0.65062654)]",5
相当不错，行货就是质量有保证。至于价格的话，实惠，虽然比水货要贵一些。蓝牙、摄像头、指纹也不是必须的,不错 行货 质量 保证 价格 实惠 水货 蓝牙 摄像头 指纹,pos,"[(0, 0.015222361), (1, 0.24822968), (2, 0.69071877), (3, 0.015354052), (4, 0.01523557), (5, 0.015239561)]",2
400不错~价钱也不贵~还是抢购时候搞的~哈哈。很好用~到底是大牌，用起来感觉就是不一样,不错 价钱 不贵 抢购 很好 大牌 感觉,pos,"[(0, 0.021025153), (1, 0.021036392), (2, 0.6028816), (3, 0.020988462), (4, 0.31297022), (5, 0.021098185)]",2
散热很好，风扇声音很小，价格还可以，喜欢小黑的外观。没想到抢购送货还这么快。,散热 风扇 声音 很小 价格 喜欢 小黑 外观 没想到 抢购 送货,pos,"[(0, 0.013936937), (1, 0.013972995), (2, 0.93011975), (3, 0.013996552), (4, 0.0139649445), (5, 0.014008806)]",2
小巧轻便，联想品牌保修服务值得信赖。自带 家庭版系统，内带操作系统恢复盘和驱动光盘。,小巧 轻便 联想 品牌 保修 服务 值得 信赖 自带 家庭版 系统 内带 操作系统 恢复 驱动 光盘,pos,"[(0, 0.31013793), (1, 0.46510944), (3, 0.19506338)]",1
用了几天，感觉不错，无线、蓝牙、摄像头等基本功能都有，对于上网本足够用了。在京东买省事，放心些，送来都是未拆封的。,几天 感觉 不错 无线 蓝牙 摄像头 基本功能 上网 足够 京东 省事 放心 送来 拆封,pos,"[(0, 0.011158835), (1, 0.011183817), (2, 0.9440376), (3, 0.011229411), (4, 0.011210762), (5, 0.011179531)]",2
1、大品牌，值得信赖。发票保修卡齐全，保修两年， 售后应该有保证。,品牌 值得 信赖 发票 保修卡 齐全 保修 两年 售后 保证,pos,"[(0, 0.73533994), (1, 0.015308036), (2, 0.20349084), (3, 0.015336278), (4, 0.015255644), (5, 0.015269231)]",0
首先附赠软件（2007、）是在第一次启动时决定是否安装。不像很多品牌的笔记本，一上来一股脑儿给你装上。而且实际使用后发现它的很多自带的实用软件非常出色，非常人性化！回家仔细使用后发现键盘手感果然如大家所说非常出色。另外第一次使用小红点就爱上它了--感觉比触摸板好多了，难怪它会成为基因之一机器虽然有点重，但是感觉很扎实，比某些“娱乐本”扎实很多。,附赠 软件 第一次 启动 安装 品牌 笔记本 一股脑儿 发现 自带 实用软件 出色 人性化 回家 仔细 发现 键盘 手感 所说 出色 第一次 小红点 感觉 触摸板 好多 基因 机器 感觉 扎实 娱乐 扎实,pos,"[(5, 0.9737343)]",5
4399元的时候抢购的。配置高价格低。很划算。机身整体外观比较稳重，做工还是很结实的。配置也算比较高。能够应付现在主要的一些应用。而且毕竟是。散热之类的做的还行。键盘手感也还行。比起系列来是厚重了一些，不过价格摆在那。。。,抢购 配置 价格低 划算 机身 整体 外观 稳重 做工 结实 配置 应付 散热 还行 键盘 手感 还行 系列 厚重 价格 摆在,pos,"[(2, 0.5322694), (5, 0.43715674)]",2
轻巧，适合女士和商务人士使用，的口碑在那里放着的，键盘是全尺寸的，什么人用都合适。,轻巧 适合 女士 商务人士 口碑 放着 键盘 尺寸 人用 合适,pos,"[(0, 0.015304364), (1, 0.015254069), (2, 0.015452529), (3, 0.015276636), (4, 0.923227), (5, 0.015485344)]",4
配置不错，又是小黑，有着小黑出色的键盘和沉稳的外观，4399的价格实在没什么可说的了。质量应该比其他品牌都更有保证，用户舒适度也不错。虽然不比其他系列，但是还是很有吸引力的机器。,配置 不错 小黑 小黑 出色 键盘 沉稳 外观 价格 实在 没什么 可说 质量 品牌 保证 用户 舒适度 不错 系列 吸引力 机器,pos,"[(0, 0.18189506), (2, 0.62701684), (3, 0.16818286)]",2
"6570,2内存 250硬盘，新款 105 256独显，屏幕高亮清晰不刺眼，  刻录光驱， 百万像素无线摄像头，外加品牌，这样的价格很合适，断网问题可能是软件问题，我到现在还没发现！！！",内存 硬盘 新款 独显 屏幕 高亮 清晰 刺眼 刻录 光驱 百万 像素 无线 摄像头 外加 品牌 价格 合适 断网 软件 发现,pos,"[(3, 0.9618137)]",3
"纳入了全新的高强度工程塑料+钢琴烤漆外壳设计，的确在视觉上给用户带来了新意的十足的时尚感;6570双核处理器，为最新45纳米工艺,独立显卡;其上方备配高清摄像头，便于用户更好的进行商务会议;背光屏幕，更加环保省电",纳入 全新 高强度 工程塑料 钢琴 烤漆 外壳 设计 视觉 用户 带来 新意 十足 时尚 双核 处理器 最新 纳米 工艺 独立 显卡 上方 备配 高清 摄像头 用户 更好 商务会议 背光 屏幕 环保,pos,"[(3, 0.9738191)]",3
"4399抢的,太便宜了!哈哈哈.我非常喜欢.做工很好,散热也很好!太酷了!我喜欢",便宜 哈哈哈 喜欢 做工 散热 太酷 喜欢,pos,"[(0, 0.46469998), (1, 0.020986943), (2, 0.45124856), (3, 0.020980898), (4, 0.021102326), (5, 0.020981293)]",0
简单大方，配置不错，但我是5399买的，看到有留言说4299就抢购到了，心里觉得有一点点不平衡。,简单 大方 配置 不错 留言 抢购 一点点 平衡,pos,"[(0, 0.018655555), (1, 0.018713016), (2, 0.9065553), (3, 0.01873406), (4, 0.018600412), (5, 0.018741718)]",2
一直很喜欢小黑，这次终于如愿以偿了，4399买到这样的配置和品牌，很超值！机器很漂亮，外观很稳重，键盘很好，比我以前的华硕要清晰很多，屏幕很完美，自己检测的，应该没有坏点什么的！小红帽还没习惯用，不过据说很赞！,喜欢 小黑 终于 如愿以偿 买到 配置 品牌 超值 机器 很漂亮 外观 稳重 键盘 华硕 清晰 屏幕 完美 检测 坏点 小红帽 习惯,pos,"[(2, 0.96164995)]",2
特价抢购的。。性价比是非常之高了。。。机器也不行，还带正版操作系统,特价 抢购 性价比 机器 不行 正版 操作系统,pos,"[(0, 0.021043709), (1, 0.55083025), (2, 0.36532915), (3, 0.020877805), (4, 0.020924872), (5, 0.02099421)]",1
特价抢的，完美屏，外观做工细节方面都很精致，看起来非常大气，不愧是,特价 完美 外观 做工 细节 精致 大气 不愧,pos,"[(0, 0.01868268), (1, 0.9066037), (2, 0.018845828), (3, 0.018562153), (4, 0.018598644), (5, 0.018707005)]",1
