Topic0-主题词,Topic0-权重,,Topic1-主题词,Topic1-权重,,Topic2-主题词,Topic2-权重,,Topic3-主题词,Topic3-权重,,Topic4-主题词,Topic4-权重,,Topic5-主题词,Topic5-权重,,Topic6-主题词,Topic6-权重,,Topic7-主题词,Topic7-权重,,Topic8-主题词,Topic8-权重,,Topic9-主题词,Topic9-权重,,Topic10-主题词,Topic10-权重,,Topic11-主题词,Topic11-权重,,Topic12-主题词,Topic12-权重,,Topic13-主题词,Topic13-权重,,Topic14-主题词,Topic14-权重,,Topic15-主题词,Topic15-权重,
通风,0.002,,柠檬,0.002,,环境卫生,0.003,,外地人,0.001,,携程,0.002,,暖和,0.002,,照片,0.003,,烟霞,0.002,,衣服,0.002,,烦恼,0.002,,老板,0.002,,地铁口,0.002,,清新,0.002,,球球,0.002,,问能,0.002,,不算,0.002,
收藏夹,0.002,,聚会,0.002,,团建,0.002,,休息,0.001,,送来,0.002,,景色,0.002,,煮茶,0.003,,看得出,0.002,,柠檬,0.002,,超高,0.002,,前台,0.002,,热心,0.002,,空调,0.002,,解放,0.002,,功夫,0.002,,体现,0.002,
保证,0.002,,放松,0.002,,下午茶,0.002,,城景,0.001,,划算,0.002,,热心,0.002,,地点,0.003,,完美,0.002,,换洗,0.002,,采光,0.002,,设施,0.002,,效率高,0.002,,电驴,0.002,,评所,0.002,,充电,0.002,,好看,0.002,
卧室,0.002,,装饰,0.002,,管家,0.002,,同事,0.001,,楼梯,0.002,,马路,0.002,,小时,0.003,,优点,0.002,,好比,0.002,,卫生间,0.002,,惬意,0.002,,吃喝,0.002,,大方,0.002,,包括,0.002,,动嘴,0.002,,欧式,0.002,
天气,0.002,,回复,0.002,,客服,0.002,,配置,0.001,,小吃,0.002,,驻店,0.002,,拍照,0.003,,配置,0.002,,姐妹,0.002,,狗狗,0.002,,吃饭,0.002,,精致,0.002,,潮宗,0.002,,灯光,0.002,,友好,0.002,,油脂,0.002,
是用,0.002,,好评,0.002,,女生,0.001,,办公桌,0.001,,光影,0.002,,合适,0.002,,学校,0.003,,花草,0.002,,纱帘,0.002,,退房,0.002,,面积,0.002,,声音,0.002,,智能,0.002,,空调,0.002,,爆炸,0.002,,来住,0.002,
食材,0.002,,萝卜,0.002,,细节,0.001,,分离,0.001,,前台,0.002,,耐心,0.002,,适合,0.003,,超大,0.002,,可惜,0.002,,洗漱,0.002,,可爱,0.002,,超出,0.002,,烦恼,0.002,,理解,0.002,,精致,0.002,,私密,0.002,
靠窗,0.002,,小吃街,0.002,,房间内,0.001,,周到,0.001,,姐妹,0.002,,停车,0.002,,宽敞,0.003,,店里,0.002,,住惯,0.002,,加油,0.002,,木质,0.001,,老板娘,0.002,,住房,0.002,,零差,0.002,,名宿,0.002,,有大,0.002,
前院,0.002,,感到,0.002,,记得,0.001,,疑问,0.001,,弟弟,0.002,,机会,0.002,,好闻,0.003,,可惜,0.002,,带我去,0.002,,压抑,0.002,,实在,0.001,,攻略,0.002,,艺术,0.002,,游泳池,0.002,,耳塞,0.002,,睡觉,0.002,
操作,0.002,,打车,0.002,,道理,0.001,,调色,0.001,,介绍,0.002,,大床,0.002,,很好,0.003,,行程,0.002,,宗街,0.002,,超值,0.002,,到达,0.001,,采光,0.002,,有序,0.002,,还养,0.002,,风景,0.002,,客服,0.002,
户型,0.002,,期待,0.002,,遗憾,0.001,,还养,0.001,,落地窗,0.002,,质量,0.002,,住房,0.002,,沐浴,0.002,,加热,0.002,,下楼,0.002,,超好,0.001,,小院,0.002,,丢掉,0.002,,地台,0.002,,氛围,0.002,,鹅绒,0.002,
零食,0.002,,游玩,0.002,,权益,0.001,,小时,0.001,,超市,0.002,,差点,0.002,,消毒柜,0.001,,泡泡浴,0.002,,方式,0.002,,质量,0.002,,步行街,0.001,,住宿,0.002,,挑不出,0.002,,失望,0.002,,环境卫生,0.002,,出门,0.002,
