Unnamed: 0,发表时间,作者,评级,标题,内容,fenci,sentiment,主题概率,主题类型
,2024-06-09 16:06:57,孤勇者 Max,1,垃圾造谣软件,（该条评论已经被删除）👎,评论 删除,负面,"[(0, 0.022222241), (1, 0.022222238), (2, 0.022222238), (3, 0.022222238), (4, 0.022222267), (5, 0.68888855), (6, 0.022222253), (7, 0.022222238), (8, 0.02222226), (9, 0.02222225), (10, 0.022222249), (11, 0.022222275), (12, 0.022222241), (13, 0.02222225), (14, 0.022222243)]",5
,2024-06-09 15:02:28,pangoii,1,卡顿发热闪退,为什么只有这一个程序 看个视频也能疯狂发热 然后闪退 能不能优化一下？,程序 视频 疯狂 发热 闪退,负面,"[(0, 0.011112834), (1, 0.20791914), (2, 0.011112834), (3, 0.011112834), (4, 0.011112869), (5, 0.0111128455), (6, 0.31237268), (7, 0.011112872), (8, 0.011112865), (9, 0.011112834), (10, 0.011112853), (11, 0.0111128455), (12, 0.011112833), (13, 0.34635407), (14, 0.011112831)]",13
,2024-06-09 13:39:46,不好了吧,1,一坨广告 一碰就放 还关不掉,（该条评论已经被删除）无耻,评论 删除 无耻,负面,"[(0, 0.016667217), (1, 0.016667215), (2, 0.016667215), (3, 0.016667215), (4, 0.016667238), (5, 0.49846622), (6, 0.016667226), (7, 0.016667215), (8, 0.016667243), (9, 0.016667226), (10, 0.016667223), (11, 0.016667243), (12, 0.016667217), (13, 0.016667224), (14, 0.28485987)]",5
,2024-06-09 13:37:37,yxhjgn,1,垃圾,太垃圾是个废物软件，发个评论还要答题，这么多个平台就你就你最突出，难怪会吃官司,垃圾 废物 软件 评论 答题 平台,负面,"[(2, 0.4837825), (5, 0.3923637)]",2
,2024-06-09 10:06:04,源程序之宇,1,更新能不能不要强制改logo图片,你们更新什么毕业歌会与我有什么关系，我为什么要更新出一个丑不垃圾的,毕业 歌会 关系 垃圾,负面,"[(0, 0.013339866), (1, 0.013339891), (2, 0.013339869), (3, 0.013339843), (4, 0.013339843), (5, 0.013339843), (6, 0.013339868), (7, 0.01333989), (8, 0.01333985), (9, 0.013339838), (10, 0.013339843), (11, 0.013339844), (12, 0.013339893), (13, 0.013339841), (14, 0.813242)]",14
,2024-06-09 09:45:15,小呆呆的揉脸狂,1,男性社区,擦边视频 颜色标题特别多，男的多的地方就是臭,擦边 视频 颜色 标题 地方,负面,"[(0, 0.01111776), (1, 0.011117743), (2, 0.011117756), (3, 0.0111177405), (4, 0.011117745), (5, 0.011117743), (6, 0.011117749), (7, 0.011117766), (8, 0.011117745), (9, 0.011117751), (10, 0.011117747), (11, 0.8443514), (12, 0.011117741), (13, 0.011117841), (14, 0.011117743)]",11
,2024-06-09 06:56:10,Fliex12345,4,怎么老是闪退啊？能不能修复一下？,（该条评论已经被删除）怎么老是闪退啊？能不能修复一下？,评论 删除 闪退 修复,负面,"[(0, 0.013333583), (1, 0.013333588), (2, 0.013333578), (3, 0.013333597), (4, 0.013333586), (5, 0.8133297), (6, 0.013333725), (7, 0.013333615), (8, 0.013333591), (9, 0.01333359), (10, 0.013333578), (11, 0.013333588), (12, 0.013333576), (13, 0.013333582), (14, 0.013333576)]",5
,2024-06-09 02:14:59,更新后连续闪退,2,闪退,平均刷30分钟必闪退☹️☹️，开个超年度大会员，感觉广告越来越多。,平均 闪退 年度 会员 感觉 广告,负面,"[(1, 0.5517497), (2, 0.3244043)]",1
,2024-06-09 01:43:17,今天晚上吃什么。。。。。,1,请问你们测试是干嘛的？,新版本后台还会继续播放视频的声音，你们的测试是干嘛的？这这么多天了还不修复。,版本 后台 播放 视频 声音 干嘛 修复,负面,"[(5, 0.25656834), (9, 0.14926668), (10, 0.49415568)]",10
,2024-06-08 20:44:57,看见你就喜欢,1,流量看视频每次闪退,用流量看视频一直闪退,流量 视频 闪退,负面,"[(0, 0.0166668), (1, 0.016666807), (2, 0.016666804), (3, 0.016666807), (4, 0.016666813), (5, 0.016666813), (6, 0.016666977), (7, 0.7666645), (8, 0.01666681), (9, 0.016666831), (10, 0.016666818), (11, 0.01666681), (12, 0.0166668), (13, 0.016666818), (14, 0.016666798)]",7
,2024-06-08 19:43:37,我永远喜欢希露菲叶特,1,憑什麼強制要求綁定手機號,憑什麼強制要求綁定手機號？,強制 綁定 手機,负面,"[(0, 0.016688822), (1, 0.016688822), (2, 0.016688822), (3, 0.016688822), (4, 0.016688822), (5, 0.016688822), (6, 0.016688822), (7, 0.016688822), (8, 0.016688822), (9, 0.7663565), (10, 0.016688822), (11, 0.016688822), (12, 0.016688822), (13, 0.016688822), (14, 0.016688822)]",9
,2024-06-08 19:37:36,Sa1L_413,1,闪退,频繁闪退,频繁 闪退,负面,"[(0, 0.022222783), (1, 0.022222798), (2, 0.022222783), (3, 0.022222808), (4, 0.022222785), (5, 0.022222793), (6, 0.02222303), (7, 0.6888806), (8, 0.02222279), (9, 0.022222796), (10, 0.022222804), (11, 0.022222793), (12, 0.02222279), (13, 0.022222793), (14, 0.022222783)]",7
,2024-06-08 19:28:12,振的楠,1,闪退,如题 垃圾闪退,垃圾 闪退,负面,"[(0, 0.022222346), (1, 0.022222381), (2, 0.02222235), (3, 0.022222323), (4, 0.022222316), (5, 0.02222232), (6, 0.6888873), (7, 0.022222381), (8, 0.022222329), (9, 0.022222314), (10, 0.022222316), (11, 0.02222232), (12, 0.022222366), (13, 0.022222314), (14, 0.02222232)]",6
,2024-06-08 17:21:29,小鞠:-D,1,闪退！！！！,怎么会经常闪退啊,闪退,负面,"[(0, 0.03333343), (1, 0.033333447), (2, 0.03333343), (3, 0.033333458), (4, 0.033333432), (5, 0.03333344), (6, 0.53333193), (7, 0.033333477), (8, 0.03333344), (9, 0.033333443), (10, 0.03333343), (11, 0.033333432), (12, 0.03333343), (13, 0.033333436), (14, 0.03333343)]",6
,2024-06-08 16:47:37,Lwb013,1,你优化了个锤子,一开手机就开始发热，看一会儿就直接闪退24/6/8。13，17,手机 发热 闪退,负面,"[(0, 0.016667882), (1, 0.016667875), (2, 0.016667884), (3, 0.01666796), (4, 0.016667878), (5, 0.016667902), (6, 0.76664954), (7, 0.0166679), (8, 0.01666788), (9, 0.016667884), (10, 0.01666791), (11, 0.016667875), (12, 0.016667882), (13, 0.016667886), (14, 0.016667869)]",6
,2024-06-08 14:48:03,nbggmgv,1,为什么不是最新版就不能跳转,老是更新，不更新浏览器又不能跳转。。。今天又要更新,浏览器 跳转,负面,"[(0, 0.022222655), (1, 0.02222267), (2, 0.022222655), (3, 0.6888828), (4, 0.022222655), (5, 0.022222659), (6, 0.022222655), (7, 0.022222657), (8, 0.022222655), (9, 0.022222657), (10, 0.022222664), (11, 0.022222659), (12, 0.022222655), (13, 0.022222657), (14, 0.022222657)]",3
,2024-06-08 13:51:51,这功能不好,1,闪退,闪退！！！,闪退,负面,"[(0, 0.03333343), (1, 0.033333447), (2, 0.03333343), (3, 0.03333346), (4, 0.033333432), (5, 0.03333344), (6, 0.5333318), (7, 0.033333562), (8, 0.03333344), (9, 0.033333443), (10, 0.03333343), (11, 0.033333432), (12, 0.03333343), (13, 0.033333436), (14, 0.03333343)]",6
,2024-06-08 12:20:52,采恤锟,5,多久的啦，缩减一下app大小先啦！,建议缩减的大小，内容没什么问题～就是你不要总是封禁啊,建议 缩减 内容 封禁,负面,"[(0, 0.013338556), (1, 0.013338528), (2, 0.013338541), (3, 0.8132601), (4, 0.013338541), (5, 0.013338576), (6, 0.013338545), (7, 0.013338588), (8, 0.013338526), (9, 0.013338642), (10, 0.013338523), (11, 0.013338558), (12, 0.013338578), (13, 0.013338658), (14, 0.013338528)]",3
,2024-06-08 11:44:50,TomCatis,1,烂完了,引战对立删不完，被迫只能短视频，创作激励非常抠，监管审核全靠,引战 对立 删不完 只能 视频 激励 审核,负面,"[(10, 0.62026715), (13, 0.271342)]",10
,2024-06-08 11:05:38,真的是服了了,2,看着看着就闪退真的是服了,卸载重装也不起作用，重启手机也没反应……,卸载 重装 重启 手机,负面,"[(0, 0.013346232), (1, 0.013346229), (2, 0.013346232), (3, 0.43042988), (4, 0.013346231), (5, 0.013346233), (6, 0.013346235), (7, 0.013346231), (8, 0.013346232), (9, 0.013346235), (10, 0.013346273), (11, 0.013346233), (12, 0.013346232), (13, 0.3960691), (14, 0.013346228)]",3
,2024-06-08 00:33:36,FIDIDJIRIDUDH,1,恶心的摇一摇,真是恶心人的东西，摇一摇进入京东淘宝，人家抖音拼多多都没搞这个恶心的东西了，你还在用，真是不要脸了？以前还觉得你是国产软件之光，嘁，都一个烂怂样，但凡给你冲一分钱我不是中国人。,恶心 恶心 一分钱,负面,"[(0, 0.0166732), (1, 0.01667319), (2, 0.016673194), (3, 0.016673233), (4, 0.7665752), (5, 0.016673183), (6, 0.016673192), (7, 0.016673213), (8, 0.016673207), (9, 0.016673196), (10, 0.01667319), (11, 0.016673187), (12, 0.016673192), (13, 0.016673187), (14, 0.016673183)]",4
,2024-06-07 21:37:39,海明士,1,仔细一看才发现,这玩意其实是外国软件，怪不得没见美国打压他,玩意 软件 打压,负面,"[(0, 0.016672466), (1, 0.016672501), (2, 0.7665853), (3, 0.016672473), (4, 0.016672458), (5, 0.016672462), (6, 0.016672505), (7, 0.016672483), (8, 0.016672494), (9, 0.016672475), (10, 0.016672473), (11, 0.016672494), (12, 0.016672479), (13, 0.016672458), (14, 0.016672458)]",2
,2024-06-07 21:00:08,爱游泳的鱼开开,5,b站,刚开始还不了解站现在感觉站比抖音还有快手好所以就经常喜欢看那个站里面还有很多那个梗 比如扣税国王 控告律师……总言而知我最喜欢的是这个什么站用户几级升一级就感觉很高兴😊 所以评价是👍,感觉 比抖 喜欢 扣税 国王 控告 律师 总言 喜欢 用户 感觉 评价,负面,"[(1, 0.7108574), (11, 0.22243871)]",1
,2024-06-07 20:11:07,迷鹿麋鹿在迷路,1,老是毫无预兆的闪退,用着用着就闪退了，100多个软件就你用着用着就闪退,着用 闪退 软件 着用 闪退,负面,"[(0, 0.011113884), (1, 0.011113889), (2, 0.011113887), (3, 0.44881976), (4, 0.011113883), (5, 0.011113885), (6, 0.4066997), (7, 0.011113902), (8, 0.011113899), (9, 0.011113888), (10, 0.011113885), (11, 0.01111389), (12, 0.011113887), (13, 0.011113883), (14, 0.011113881)]",3
,2024-06-07 19:22:50,高端豪华大惊失色军军,3,看直播会弹窗！！！,没关注的弹关注 挡住正中间视频内容，关注了的弹刷礼物 充电，我真是吐了。短视频也弹 什么一键三连窗口，再有些个习惯设置弹幕速刷的弹窗我。真的，绝绝子，告辞了。,关注 关注 挡住 正中间 视频 内容 关注 弹刷 礼物 充电 视频 一键 习惯 弹幕 速刷 弹窗 告辞,负面,"[(2, 0.08506051), (13, 0.86675715)]",13
,2024-06-07 17:33:47,担保贷款ki,1,体验不好,（该条评论已经被删除）能不能去掉自动刷新，退出视频还有想看的就整个页面都刷掉，真的很难崩,评论 删除 去掉 刷新 退出 视频 想看 页面 刷掉,负面,"[(13, 0.9066458)]",13
,2024-06-07 15:27:01,🌟可以呀,3,闪退,闪退不修？有些视频苹果还卡一顿一顿的也不改,闪退 视频 苹果,负面,"[(0, 0.016666949), (1, 0.016666964), (2, 0.016666954), (3, 0.016666958), (4, 0.016666954), (5, 0.016666958), (6, 0.016667007), (7, 0.76666254), (8, 0.016666958), (9, 0.016666956), (10, 0.016666975), (11, 0.016666962), (12, 0.016666953), (13, 0.016666967), (14, 0.016666949)]",7
,2024-06-07 13:52:40,我杀了您煲汤,1,有够垃圾,就刷站是不是会让手机死机，不刷站不会出现这种现象，刷了站每天都得死机一次,手机 死机 现象 死机,负面,"[(0, 0.013337578), (1, 0.01333757), (2, 0.0133375805), (3, 0.013337631), (4, 0.013337575), (5, 0.013337588), (6, 0.013337583), (7, 0.013337575), (8, 0.013337573), (9, 0.013337578), (10, 0.013337593), (11, 0.01333757), (12, 0.81327385), (13, 0.013337579), (14, 0.013337575)]",12
,2024-06-07 13:11:32,刚好回家就可以,2,一键三连是可以的，但是无法取消就是垃圾功能,经常误触点赞，导致三连，无法取消，浪费硬币啊。就不能设置可以选择要不要一键三连吗？,误触 导致 取消 浪费 硬币 选择 一键,负面,"[(2, 0.6789852), (5, 0.11945086), (14, 0.10154494)]",2
,2024-06-07 12:49:00,就是喜欢湿地,1,垃圾，就是一坨,点进站自动给我转到京东，吃烂钱那样看着真恶心,进站 转到 看着 恶心,负面,"[(0, 0.013334323), (1, 0.01333431), (2, 0.013334315), (3, 0.013334359), (4, 0.013334347), (5, 0.013334302), (6, 0.8133194), (7, 0.013334397), (8, 0.0133343525), (9, 0.01333432), (10, 0.013334308), (11, 0.01333431), (12, 0.013334318), (13, 0.013334305), (14, 0.013334302)]",6
,2024-06-07 10:05:02,wendyxiash,5,B站万岁,（该条评论已经被删除）。,评论 删除,负面,"[(0, 0.022222241), (1, 0.022222238), (2, 0.022222238), (3, 0.022222238), (4, 0.022222267), (5, 0.68888855), (6, 0.022222253), (7, 0.022222238), (8, 0.02222226), (9, 0.02222225), (10, 0.022222249), (11, 0.022222275), (12, 0.022222241), (13, 0.02222225), (14, 0.022222243)]",5
,2024-06-07 08:53:52,yoyo3451,1,把你名还回来,请把你的名字和所有弹幕归还,名字 弹幕 归还,负面,"[(0, 0.016679334), (1, 0.016679341), (2, 0.016679328), (3, 0.5386663), (4, 0.016679326), (5, 0.016679332), (6, 0.01667934), (7, 0.24450232), (8, 0.01667933), (9, 0.016679335), (10, 0.016679328), (11, 0.01667937), (12, 0.016679326), (13, 0.016679345), (14, 0.016679326)]",3
,2024-06-07 04:58:06,速录机咯囍,1,，,别人骂脏话都能发出来。我问问题都能被吞😓 -----------------------------------------------------------------------------------------  开发者回复：您好，点击评论处三个点后可以通过举报反馈、良好的社区环境需要大家共同建设。小伙伴的评论情况如果出现被删除或不能显示，建议您可以尝试一下申诉哦~如果您的评论核实无问题会帮您恢复哒~链接（://../5//）成功与否都会在24内会在系统通知给您反馈哒~有劳小伙伴啦,脏话 发出 开发者 回复 点击 评论 举报 反馈 社区 环境 小伙伴 评论 情况 删除 显示 申诉 评论 核实 恢复 链接 成功 内会 系统 通知 反馈 有劳 小伙伴,负面,"[(5, 0.5679798), (9, 0.40105695)]",5
,2024-06-07 00:26:07,无情周大木,1,垃圾🚮差评广告越来越多,首页一堆推广，刷短视频模式之前是5，6个一个广告，最近变成3个一广告，还不如直接给我看广告得了，差评差评,推广 刷短 视频模式 广告 广告 广告 评差,负面,"[(1, 0.8833001)]",1
,2024-06-06 20:02:55,游客25783876347,5,没有机器人,高分评论没有水评分的机器人，冲着这个就5星,高分 评论 评分 机器人,负面,"[(0, 0.013342656), (1, 0.013342654), (2, 0.013342656), (3, 0.013342656), (4, 0.013342768), (5, 0.013342676), (6, 0.013342661), (7, 0.013342674), (8, 0.013342662), (9, 0.01334268), (10, 0.013342659), (11, 0.8132026), (12, 0.013342658), (13, 0.013342659), (14, 0.013342656)]",11
,2024-06-06 14:36:09,Peter1227001,1,更新后会闪退是什么问题,闪退,闪退,负面,"[(0, 0.03333343), (1, 0.033333447), (2, 0.03333343), (3, 0.033333458), (4, 0.033333432), (5, 0.03333344), (6, 0.53333193), (7, 0.033333477), (8, 0.03333344), (9, 0.033333443), (10, 0.03333343), (11, 0.033333432), (12, 0.03333343), (13, 0.033333436), (14, 0.03333343)]",6
,2024-06-06 12:02:13,FishBoneEK,3,B站变了,以前是有特色的小破站，现在是个普普通通的视频网站。,特色 小破站 视频 网站,负面,"[(0, 0.01333397), (1, 0.013333995), (2, 0.013333967), (3, 0.013333962), (4, 0.01333397), (5, 0.013334019), (6, 0.013333965), (7, 0.013333979), (8, 0.013333967), (9, 0.013333967), (10, 0.013333972), (11, 0.81332433), (12, 0.01333398), (13, 0.013334004), (14, 0.013333962)]",11
,2024-06-06 08:28:05,穿上我爱的马甲,3,为什么会闪退啊,现在为什么用着用着会闪退了,着用 闪退,负面,"[(0, 0.02222586), (1, 0.022225885), (2, 0.022225862), (3, 0.68883693), (4, 0.022225866), (5, 0.022225877), (6, 0.022226732), (7, 0.022225937), (8, 0.022225885), (9, 0.022225881), (10, 0.02222586), (11, 0.022225862), (12, 0.02222586), (13, 0.02222587), (14, 0.022225862)]",3
,2024-06-06 07:01:24,7557.9797643,1,乐色,垃圾软件 祝愿早点倒闭,垃圾 软件 祝愿 倒闭,负面,"[(0, 0.013343216), (1, 0.36502317), (2, 0.013343224), (3, 0.013343214), (4, 0.013343207), (5, 0.013343207), (6, 0.013343236), (7, 0.46151495), (8, 0.013343229), (9, 0.013343224), (10, 0.013343216), (11, 0.013343231), (12, 0.013343231), (13, 0.013343216), (14, 0.0133432085)]",7
,2024-06-06 02:19:11,Crossroadsin,1,跳广告还得司马睿,国家禁止摇一摇你整个倾斜手机秒跳，十年老用户了就你这破站也想做大厂，趁早倒闭吧,国家 禁止 倾斜 手机 用户 大厂 倒闭,负面,"[(3, 0.32227817), (13, 0.56931704)]",13
,2024-06-06 02:12:59,枷锁城狮,1,自建收藏夹顺序乱七八糟,新创建的收藏夹顺序为什么不默认在最顶端，新建一个收藏夹在收藏夹列表里顺序乱七八糟，不知道会被放在哪个位置上，手机上还不能调整自己创建的收藏夹的顺序，我新建一个列表就是为了方便最新播放的，结果给我沉到旧收藏夹下面去是怎么回事，想整理还要上网页版，这个问题存在好久了，能不能改,收藏夹 顺序 默认 收藏夹 收藏夹 列表 顺序 放在 位置 手机 创建 收藏夹 顺序 列表 播放 沉到 收藏夹 整理 网页,负面,"[(6, 0.9533245)]",6
,2024-06-06 01:14:23,窥星,1,笑死了  现在还强制性弹广告,直接跳转到别的软件  真是越来越垃圾了,跳转 软件 垃圾,负面,"[(0, 0.016666805), (1, 0.7666643), (2, 0.016666817), (3, 0.016667053), (4, 0.01666679), (5, 0.016666798), (6, 0.016666844), (7, 0.01666683), (8, 0.016666828), (9, 0.016666805), (10, 0.016666815), (11, 0.016666828), (12, 0.016666822), (13, 0.01666679), (14, 0.016666794)]",1
,2024-06-05 23:02:29,🤭🤔😰🤐🤒,1,就是,点了不感兴趣的分区就不要推到首页了好吗 既然学了油管就学一下再不会推荐此频道()比较搞的一点是有些投稿网页端正常显示手机端是显示主删除 样子有点难看,分区 油管 就学 推荐 频道 投稿 网页 显示 手机 显示 删除 样子 难看,负面,"[(3, 0.12592019), (5, 0.109518506), (11, 0.13158174), (13, 0.5805578)]",13
,2024-06-05 21:46:21,柳岸栖,1,投屏总是播一两分钟就断开,（该条评论已经被删除）大会员，电视手机都用的站，投屏每次都断，官方出来给个解释,评论 删除 会员 电视 手机 都用 投屏 官方 解释,负面,"[(4, 0.69576794), (7, 0.2175451)]",4
,2024-06-05 20:19:27,给游戏一个good的评价！,4,优化播放顺序吧,能不能改进一下播放合集顺序 新增正序倒叙播放方式手机可以 不行 很难受啊,改进 播放 合集 顺序 新增 正序 倒叙 播放 方式 手机 不行 难受,负面,"[(10, 0.2075787), (13, 0.7256929)]",13
,2024-06-05 19:16:58,^ ~^,5,唯一的净土,比抖音、慢脚好太多了,比抖,负面,"[(0, 0.033333965), (1, 0.53332454), (2, 0.033333965), (3, 0.033333965), (4, 0.03333397), (5, 0.033333965), (6, 0.033333965), (7, 0.033333965), (8, 0.033333965), (9, 0.033333965), (10, 0.033333965), (11, 0.033333965), (12, 0.033333965), (13, 0.033333965), (14, 0.033333965)]",1
,2024-06-05 16:14:52,拉寄爱奇艺,1,广告营销号太多,打开就是跳转广告，到处都是广告，垃圾营销号无聊视频，美妆博主带货广告，网贷广告，叔叔这么缺钱吗？我看您缺一位蒙古上单,打开 跳转 广告 广告 垃圾 无聊 视频 博主带 广告 网贷 广告 叔叔 缺钱,负面,"[(2, 0.7603086), (3, 0.17776124)]",2
,2024-06-05 15:44:15,小三爷～,1,更新后一直闪退,最近一直闪退能不能优化一下啊，真的是服,退能,负面,"[(0, 0.03333516), (1, 0.03333516), (2, 0.03333516), (3, 0.03333516), (4, 0.03333516), (5, 0.03333516), (6, 0.03333516), (7, 0.03333516), (8, 0.03333516), (9, 0.03333516), (10, 0.03333516), (11, 0.5333078), (12, 0.03333516), (13, 0.03333516), (14, 0.03333516)]",11
,2024-06-05 10:58:51,洛洛米LM,1,声音开最低还是会有滋滋的杂音,抖音没有杂音,杂音,负面,"[(0, 0.033359475), (1, 0.033359475), (2, 0.033359475), (3, 0.033359475), (4, 0.033359475), (5, 0.033359475), (6, 0.033359475), (7, 0.033359475), (8, 0.033359475), (9, 0.033359475), (10, 0.033359475), (11, 0.033359475), (12, 0.033359475), (13, 0.03335954), (14, 0.53296727)]",14
,2024-06-05 08:48:10,八爪海鱼,5,看直播闪退,看直播时间长了闪退,时间 闪退,负面,"[(0, 0.022222733), (1, 0.022222742), (2, 0.02222273), (3, 0.02222275), (4, 0.022222733), (5, 0.022222755), (6, 0.3171911), (7, 0.022222804), (8, 0.022222742), (9, 0.39391318), (10, 0.02222277), (11, 0.022222733), (12, 0.022222735), (13, 0.022222742), (14, 0.022222733)]",9
,2024-06-05 08:44:58,蝴蝶ਏϊਓ,1,重力感应呢？,你们自己有没有在用产品？设置里找遍了也找不到，安卓版本可以,有没有 产品 找遍 不到 版本,负面,"[(0, 0.011115007), (1, 0.011114862), (2, 0.25914428), (3, 0.011114882), (4, 0.011114896), (5, 0.011114886), (6, 0.011114873), (7, 0.01111488), (8, 0.011114875), (9, 0.5963622), (10, 0.011114864), (11, 0.011114912), (12, 0.011114869), (13, 0.01111489), (14, 0.01111487)]",9
,2024-06-05 00:49:20,芹菏,1,。,（该条评论已经被删除）垃级,评论 删除 垃级,负面,"[(0, 0.01669511), (1, 0.016695108), (2, 0.016695108), (3, 0.016695108), (4, 0.01669513), (5, 0.46809438), (6, 0.016695121), (7, 0.016695108), (8, 0.016695127), (9, 0.01669512), (10, 0.016695118), (11, 0.016695138), (12, 0.01669511), (13, 0.3148691), (14, 0.016695112)]",5
,2024-06-04 17:51:10,激斗JK,1,垃圾软件,改不了昵称了,改不了 昵称,负面,"[(0, 0.02223888), (1, 0.02223888), (2, 0.02223888), (3, 0.02223888), (4, 0.02223888), (5, 0.02223888), (6, 0.6886557), (7, 0.02223888), (8, 0.02223888), (9, 0.02223888), (10, 0.02223888), (11, 0.02223888), (12, 0.02223888), (13, 0.02223888), (14, 0.02223888)]",6
,2024-06-04 17:17:24,本王无心,1,bug多！,事情是这样的我在直播间但是别人看不见我的弹幕！我去了其它直播间也是这样子！我去发反馈一直转圈圈！,事情 直播间 看不见 弹幕 直播间 样子 反馈 转圈圈,负面,"[(7, 0.76108116), (8, 0.14257312)]",7
,2024-06-04 13:26:42,bbtbat,1,动态乱序推广商单视频是我见过最差的想法,一个商单视频3天里动态推了五六次，你还不如直接页面广告呢。这产品经理从哪里找来的？,商单 视频 动态 页面 广告 产品 经理,负面,"[(7, 0.15805602), (11, 0.7335924)]",11
,2024-06-04 12:23:38,海明士,1,垃圾软件,（该条评论已经被删除）赶紧下架吧,评论 删除,负面,"[(0, 0.02222224), (1, 0.022222236), (2, 0.022222236), (3, 0.022222236), (4, 0.022222279), (5, 0.68888843), (6, 0.02222225), (7, 0.022222236), (8, 0.022222262), (9, 0.02222225), (10, 0.022222247), (11, 0.022222362), (12, 0.02222224), (13, 0.022222249), (14, 0.022222241)]",5
,2024-06-04 10:57:14,Andrew Meng Ql,1,摇一摇跳转真的很恶心,你大可以自己直接跳转，不用侮辱我的智商，免得大家都不开心,跳转 不用 侮辱 智商 免得 开心,负面,"[(3, 0.86661273)]",3
,2024-06-04 09:43:14,Bing jiang,1,广告墙, ，广告越来越多跟有的一拼了，准备卸载了,广告 跟有 卸载,负面,"[(0, 0.016678955), (1, 0.40375778), (2, 0.01667897), (3, 0.37941584), (4, 0.01667895), (5, 0.01667895), (6, 0.016678954), (7, 0.01667895), (8, 0.016678957), (9, 0.016678952), (10, 0.016678954), (11, 0.016678952), (12, 0.016678954), (13, 0.016678954), (14, 0.016678948)]",1
,2024-06-04 02:33:49,宁m似乐捏,2,遥遥领先的视频软件,4年前的疫情，这软件风气彻底臭掉，我没说什么，现在软件自己开倒车开这么凶的我第一次见。六级号，看着视瓶下关不掉的评论，一个个的问候过去，自己被恶心到吐，还有出来什么比广告，连下面歌都直接显示评论，全是找骂的，看着太恶心了，你连不显示都做不出来吗？静待下一个优质的视频软件出来吧，雷累了,疫情 软件 风气 软件 看着 视瓶 下关 不掉 评论 问候 恶心 广告 显示 评论 看着 恶心 显示 静待 优质 视频 软件 雷累,负面,"[(7, 0.95940065)]",7
,2024-06-04 01:36:36,s………………..,5,追番不能区分在看想看和已看,真的难受更新后就这样了，建议站大大可以改回来,难受 建议,负面,"[(0, 0.022226257), (1, 0.022226302), (2, 0.022226257), (3, 0.022226367), (4, 0.33725974), (5, 0.022226352), (6, 0.022226317), (7, 0.37379846), (8, 0.022226293), (9, 0.022226276), (10, 0.022226278), (11, 0.022226265), (12, 0.022226257), (13, 0.022226268), (14, 0.022226257)]",7
,2024-06-04 01:11:23,sharrrk🦈,1,真垃圾,更新后老是闪退，还一堆广告,闪退 广告,负面,"[(0, 0.022222342), (1, 0.022222465), (2, 0.02222246), (3, 0.022222655), (4, 0.02222232), (5, 0.022222327), (6, 0.6888867), (7, 0.02222234), (8, 0.022222353), (9, 0.022222323), (10, 0.02222234), (11, 0.022222335), (12, 0.022222325), (13, 0.022222338), (14, 0.02222232)]",6
,2024-06-03 20:26:50,开发人员的付秦,1,经常插播恶心的病患伤口广告 非常恶心,恶心,恶心,负面,"[(0, 0.033333495), (1, 0.033333465), (2, 0.033333477), (3, 0.5333313), (4, 0.03333357), (5, 0.033333443), (6, 0.033333473), (7, 0.03333349), (8, 0.03333347), (9, 0.03333348), (10, 0.033333465), (11, 0.033333458), (12, 0.033333473), (13, 0.033333454), (14, 0.033333447)]",3
,2024-06-03 18:54:21,开屏广告别整摇一摇了,1,开屏广告,开屏广告有就有吧，还是摇一摇手机自动进入详情，太恶心了，求求了，改掉吧,开屏 广告 手机 详情 恶心 求求 改掉,负面,"[(3, 0.40111816), (9, 0.49047002)]",9
,2024-06-03 18:45:11,hbtj666,1,广告太多影响使用体验,开屏摇一摇广告灵敏度太高太高，不一小心就打开了第三方页面严重影响使用体验，视频下方穿插着与视频完全不相干的广告链接观感体验差,开屏 广告 灵敏度 小心 打开 页面 体验 视频 视频 广告 链接 观感 体验,负面,"[(3, 0.25404912), (8, 0.68403953)]",8
,2024-06-03 18:36:22,vaenst,1,开屏广告让我不再想看哔哩哔哩,曾经以为这是国内视频网站最后一块净土，现在开屏广告就算了，还加摇一摇，切换后台再切回来继续弹广告，好的不学学坏的，十年老用户已经弃坑。,视频 网站 净土 开屏 广告 还加 切换 后台 回来 广告 学学 用户,负面,"[(1, 0.92819697)]",1
,2024-06-03 18:25:30,都筑明,1,开屏广告过于频繁,不只是第一次打开，连切一下后台都要重新看广告，有点不合理,打开 连切 后台 广告 不合理,负面,"[(0, 0.011119808), (1, 0.23320784), (2, 0.01111982), (3, 0.19788085), (4, 0.011119804), (5, 0.0111198025), (6, 0.011119806), (7, 0.01111981), (8, 0.011119816), (9, 0.011119808), (10, 0.011119809), (11, 0.011119806), (12, 0.0111198025), (13, 0.43547362), (14, 0.011119802)]",13
,2024-06-03 17:04:03,j.w-2013,1,垃圾,不用多说  垃圾   开软件广告  中途回主面回去还是广告   切换回去跳去别家的广告  点取消一样打开  更让人发🔥,不用 垃圾 软件 广告 回去 广告 切换 回去 广告 取消 打开 更让人,负面,"[(3, 0.9281922)]",3
