内容,主题概率,主题类型
特别 贝瓜 四个 好吃 水份 特别 贝瓜 最差,"[(0, 0.013913836), (1, 0.013908979), (2, 0.61500937), (3, 0.013901722), (4, 0.0139069585), (5, 0.30154976), (6, 0.013910925), (7, 0.013898525)]",2
第一次 第二次 一点 好吃 垃圾,"[(0, 0.41563895), (1, 0.02085715), (2, 0.020844107), (3, 0.020856781), (4, 0.020850623), (5, 0.45924008), (6, 0.020839816), (7, 0.020872492)]",5
一点 甜味 南瓜,"[(0, 0.031274028), (1, 0.78108275), (2, 0.031268697), (3, 0.03126602), (4, 0.031262644), (5, 0.0312771), (6, 0.031265832), (7, 0.031302903)]",1
买过 难吃 南瓜 水烂乎 没关系 实在 推荐,"[(0, 0.1252035), (1, 0.015695086), (2, 0.01568307), (3, 0.57182425), (4, 0.22457361), (5, 0.015697394), (6, 0.015658377), (7, 0.015664708)]",3
假贝 全是 一点 干面 申请 客服 客服 不理 挺好,"[(0, 0.01251847), (1, 0.012516271), (2, 0.012510316), (3, 0.0125367725), (4, 0.012514273), (5, 0.012526963), (6, 0.15395579), (7, 0.7709212)]",7
中果 收到 两个 几个 感觉,"[(0, 0.020869603), (1, 0.020843891), (2, 0.8539871), (3, 0.02085216), (4, 0.02085695), (5, 0.02086677), (6, 0.020857936), (7, 0.020865563)]",2
南瓜 评价 提醒 上挡,"[(0, 0.47254157), (1, 0.025062371), (2, 0.02503894), (3, 0.37717003), (4, 0.025037464), (5, 0.025041038), (6, 0.025042681), (7, 0.0250659)]",0
主播 描述 正宗 南瓜 一点 好吃,"[(0, 0.017874245), (1, 0.8748221), (2, 0.017870802), (3, 0.017893422), (4, 0.017886024), (5, 0.017885324), (6, 0.01787911), (7, 0.01788902)]",1
总共 四个 两个 板栗 南瓜 煮起来 板栗 南瓜 信息 客服 客服,"[(0, 0.010425725), (1, 0.010433628), (2, 0.6674016), (3, 0.0104382485), (4, 0.01044254), (5, 0.0104265995), (6, 0.010429561), (7, 0.2700021)]",2
幾次 這次,"[(0, 0.041796044), (1, 0.04179615), (2, 0.041796118), (3, 0.04179619), (4, 0.04179619), (5, 0.70742697), (6, 0.041796137), (7, 0.041796263)]",5
描述 大果 给我发 小果 又坏了 两个 不退 下次,"[(0, 0.013920913), (1, 0.013930645), (2, 0.013935566), (3, 0.013930184), (4, 0.013927119), (5, 0.7342955), (6, 0.18214369), (7, 0.013916349)]",5
苦味 水汪,"[(0, 0.041764524), (1, 0.041773163), (2, 0.41990152), (3, 0.041774318), (4, 0.041767616), (5, 0.32948962), (6, 0.041764595), (7, 0.041764688)]",2
收到 蒸来 真心 不粉 图片 出水 好吃,"[(0, 0.015651213), (1, 0.8903706), (2, 0.015675122), (3, 0.015669346), (4, 0.015659224), (5, 0.015647953), (6, 0.01566294), (7, 0.015663594)]",1
第一次 好吃 第二次 复购 回来 味道,"[(0, 0.5186853), (1, 0.017900929), (2, 0.01790137), (3, 0.017877309), (4, 0.017869389), (5, 0.017894952), (6, 0.017869081), (7, 0.3740017)]",0
一点 不甜 估计 贝妈 一看 正宗 南瓜 品种,"[(0, 0.013946627), (1, 0.9025588), (2, 0.013930187), (3, 0.013906455), (4, 0.01390967), (5, 0.01391553), (6, 0.01390704), (7, 0.013925728)]",1
听说 南瓜 第一次 购买 想给 惊喜 难吃 难吃,"[(0, 0.013934645), (1, 0.7729704), (2, 0.013906417), (3, 0.013906408), (4, 0.013902403), (5, 0.013921614), (6, 0.013908763), (7, 0.1435494)]",1
对版 欺骗 消费者 中果 发来 两个 中果 三个,"[(0, 0.16287404), (1, 0.013907898), (2, 0.75369376), (3, 0.01389764), (4, 0.013900604), (5, 0.013915779), (6, 0.013906643), (7, 0.013903654)]",2
一点 收到 几个 不好 购物 体验,"[(0, 0.8747689), (1, 0.017882418), (2, 0.017888788), (3, 0.017881975), (4, 0.017891303), (5, 0.01791681), (6, 0.017891401), (7, 0.017878337)]",0
两个 直播间 南瓜 这家 块钱 想着 回看 谁家 固定 那家 没想到 这家 直播,"[(2, 0.93738467)]",2
好烂 好多,"[(0, 0.041797042), (1, 0.041762747), (2, 0.37053025), (3, 0.3786934), (4, 0.041782208), (5, 0.04181858), (6, 0.041859403), (7, 0.04175636)]",3
一点 甜味 难吃 真信 真贝 南瓜,"[(0, 0.017875152), (1, 0.87486345), (2, 0.01787506), (3, 0.017873097), (4, 0.017879995), (5, 0.017876208), (6, 0.017873485), (7, 0.017883558)]",1
水烂 虚假 怕烦,"[(0, 0.031310845), (1, 0.031309694), (2, 0.031320293), (3, 0.78061426), (4, 0.031312283), (5, 0.03131668), (6, 0.0315254), (7, 0.031290527)]",3
第一次 难吃 南瓜 一点,"[(0, 0.025117181), (1, 0.82469106), (2, 0.02502505), (3, 0.02502968), (4, 0.02502059), (5, 0.02503407), (6, 0.025011119), (7, 0.025071248)]",1
收到 发现 第二天 烂掉 扔掉 四个 三个,"[(0, 0.01567201), (1, 0.01569511), (2, 0.01566238), (3, 0.015633507), (4, 0.015634187), (5, 0.01564702), (6, 0.89042616), (7, 0.015629657)]",6
外表 不粉 蒸熟 稀烂 那种 正宗 南瓜 外表 另当别论,"[(0, 0.012536829), (1, 0.012517106), (2, 0.01251085), (3, 0.012507363), (4, 0.012509983), (5, 0.012511321), (6, 0.012509239), (7, 0.9123973)]",7
第一次 挺好 感觉 挺好吃 第二次 失望 大小 中果 四五个 失望 评论,"[(0, 0.8544508), (1, 0.01042486), (2, 0.010425788), (3, 0.08298478), (4, 0.010420292), (5, 0.010425694), (6, 0.010440944), (7, 0.01042678)]",0
一点 好吃 时间 补发 收到 补发,"[(0, 0.017875101), (1, 0.8747519), (2, 0.017897574), (3, 0.01790252), (4, 0.017895723), (5, 0.01788698), (6, 0.01789834), (7, 0.017891837)]",1
味道 南瓜 每次 个头 均匀 好吃 唯一 理想,"[(0, 0.013904407), (1, 0.01393752), (2, 0.9025644), (3, 0.013951235), (4, 0.01390189), (5, 0.013913615), (6, 0.013905462), (7, 0.013921442)]",2
说实话 南瓜 没什么 好吃 地方,"[(0, 0.02086494), (1, 0.020888317), (2, 0.020845512), (3, 0.020847628), (4, 0.020873116), (5, 0.020943642), (6, 0.020842085), (7, 0.85389477)]",7
南瓜 收到 上称 千克 不知 口感 属实,"[(0, 0.01565264), (1, 0.015671205), (2, 0.015664553), (3, 0.01566242), (4, 0.015681751), (5, 0.015655475), (6, 0.8903233), (7, 0.015688697)]",6
南瓜 一点 一点,"[(0, 0.031289358), (1, 0.7810217), (2, 0.031272914), (3, 0.03126737), (4, 0.031269494), (5, 0.031294722), (6, 0.031268366), (7, 0.031316075)]",1
同一个 两样 不好 再也 主播 东西,"[(0, 0.8747882), (1, 0.017900422), (2, 0.017881308), (3, 0.017883774), (4, 0.017899863), (5, 0.017881183), (6, 0.017887332), (7, 0.01787789)]",0
最差 体验 难吃 根本就是 八道,"[(0, 0.020888917), (1, 0.020922288), (2, 0.020869534), (3, 0.020876558), (4, 0.02089854), (5, 0.020881308), (6, 0.85379), (7, 0.02087292)]",6
根本就是 假贝 放置 星期,"[(0, 0.025036896), (1, 0.025029661), (2, 0.16243403), (3, 0.687313), (4, 0.02508124), (5, 0.025028054), (6, 0.025044313), (7, 0.025032781)]",3
南瓜 一点 不甜 买回来 两个 真的 上当受骗,"[(0, 0.015638225), (1, 0.015665967), (2, 0.015665341), (3, 0.015644435), (4, 0.01566581), (5, 0.015651265), (6, 0.015647618), (7, 0.89042133)]",7
贝瓜 描述 口感 全部都是,"[(0, 0.025023244), (1, 0.025023207), (2, 0.025022108), (3, 0.02506157), (4, 0.82480663), (5, 0.02502604), (6, 0.025027726), (7, 0.02500949)]",4
昨天 回来 第二天 早上 两个 一点 粉不甜,"[(0, 0.015651537), (1, 0.015657285), (2, 0.015679494), (3, 0.01564855), (4, 0.01567643), (5, 0.6860328), (6, 0.22000395), (7, 0.015650002)]",5
南瓜 一点 好吃 上当,"[(0, 0.025028108), (1, 0.82478505), (2, 0.025031867), (3, 0.025015555), (4, 0.025013324), (5, 0.025051342), (6, 0.025026845), (7, 0.025047896)]",1
第一次 挺好 第二次 觉对 南瓜 水露 那种 口感 一点 不好 上当受骗 商家 一次性 买卖 再也不会,"[(0, 0.78022915), (7, 0.17274013)]",0
不好 购物 体验 包装 极差 六个 三个 粉碎 摔成 空心 裂口,"[(0, 0.010441682), (1, 0.010444797), (2, 0.010436812), (3, 0.010433566), (4, 0.010438845), (5, 0.92693734), (6, 0.010434986), (7, 0.010431987)]",5
一周 好吃 不粉 不面 难吃,"[(0, 0.020844618), (1, 0.020880718), (2, 0.020857114), (3, 0.020843398), (4, 0.020847749), (5, 0.020851865), (6, 0.020843063), (7, 0.85403144)]",7
南瓜 太小 中大果 收到 南瓜 大小 均匀,"[(0, 0.015641917), (1, 0.015658638), (2, 0.8904445), (3, 0.015658122), (4, 0.015640732), (5, 0.01563732), (6, 0.015655277), (7, 0.015663479)]",2
收到 开箱 南瓜 烂掉 东西 不好 不好,"[(0, 0.67235595), (1, 0.01565909), (2, 0.015654936), (3, 0.01566925), (4, 0.01565876), (5, 0.015645096), (6, 0.23369676), (7, 0.015660109)]",0
发小,"[(0, 0.06254139), (1, 0.5622101), (2, 0.06254142), (3, 0.06254144), (4, 0.06254144), (5, 0.062541395), (6, 0.062541425), (7, 0.06254147)]",1
第一次 回购 特别 鸡蛋 几块钱 东西 不想 找麻烦,"[(0, 0.5001656), (1, 0.41631722), (2, 0.013915235), (3, 0.013913231), (4, 0.013908767), (5, 0.01392987), (6, 0.01393833), (7, 0.013911781)]",0
水瓜 实在 好评 冲着 右主 播买 照片,"[(0, 0.015659612), (1, 0.015672501), (2, 0.44068712), (3, 0.015658949), (4, 0.015655175), (5, 0.015653435), (6, 0.46536368), (7, 0.01564952)]",6
第一次 直播间 下单 老瓜 味道 确实 不错 第二次 复购 直播间 下单 收到 大小不一 小瓜 水嫩 连点 南瓜 味儿,"[(3, 0.95384306)]",3
南瓜 水不拉几 滥竽充数,"[(0, 0.03128404), (1, 0.031295903), (2, 0.031284116), (3, 0.03128875), (4, 0.03128068), (5, 0.03128809), (6, 0.031280577), (7, 0.7809978)]",7
便宜 几天,"[(0, 0.041684434), (1, 0.04166905), (2, 0.70821965), (3, 0.041694067), (4, 0.041675016), (5, 0.041671954), (6, 0.041681617), (7, 0.04170422)]",2
推挤 种果 三个 中等 三个 迷你 缺乏 诚信 消费者 会上,"[(0, 0.01139648), (1, 0.92030466), (2, 0.011388419), (3, 0.011377561), (4, 0.011379436), (5, 0.011380446), (6, 0.011394263), (7, 0.011378752)]",1
口感 上买 看吧 时间,"[(0, 0.025039792), (1, 0.0250387), (2, 0.025016068), (3, 0.02502913), (4, 0.8248302), (5, 0.025016043), (6, 0.02501429), (7, 0.025015865)]",4
第一次 难吃 南瓜 正宗 南瓜 第一次,"[(0, 0.017892549), (1, 0.017904488), (2, 0.01786984), (3, 0.017870171), (4, 0.01786553), (5, 0.017865574), (6, 0.017862024), (7, 0.8748698)]",7
第一次 第二次 南瓜 第三次 不粉 好吃 客服 客服 自然 生长 保证 口感 两次 很好 还价 朋友 下单 本来 喜欢 评价 真的 失望 单足 好吃 一点 舒服 客服 说留 两天 不粉,"[(0, 0.2141166), (1, 0.761632)]",1
买过 最差 南瓜 一点 不面 慎购 买完 后悔 虚假 广告 虚假 宣传,"[(6, 0.64423203), (7, 0.29797742)]",6
大果 四个 点儿,"[(0, 0.031334374), (1, 0.031327467), (2, 0.03140414), (3, 0.031291813), (4, 0.031304337), (5, 0.78066427), (6, 0.031381406), (7, 0.03129222)]",5
南瓜 水塔 难吃,"[(0, 0.03127893), (1, 0.78101796), (2, 0.031283956), (3, 0.031285085), (4, 0.03127825), (5, 0.031272806), (6, 0.031276476), (7, 0.031306535)]",1
第一次 第二次 超级 好吃 值得 建议,"[(0, 0.29164508), (1, 0.01786735), (2, 0.017866615), (3, 0.017864699), (4, 0.017862491), (5, 0.6011433), (6, 0.017861227), (7, 0.01788925)]",5
个头 煮粥 南瓜 超市 个头 发苦,"[(0, 0.017883012), (1, 0.017886221), (2, 0.874644), (3, 0.017947668), (4, 0.01788924), (5, 0.01795944), (6, 0.017888969), (7, 0.017901458)]",2
宣传 没买 千万别 上当,"[(0, 0.025046622), (1, 0.02505471), (2, 0.025039757), (3, 0.0250249), (4, 0.025009727), (5, 0.50459826), (6, 0.34518415), (7, 0.02504181)]",5
南瓜 水唧 不面 一分 价钱 一份,"[(0, 0.01787618), (1, 0.34010386), (2, 0.017868677), (3, 0.19215818), (4, 0.017866014), (5, 0.017870603), (6, 0.017905608), (7, 0.37835085)]",7
烂泥 正宗 南瓜 骗人 商家 虚假 售卖 回来 烂泥,"[(0, 0.5827845), (1, 0.34203148), (2, 0.012533128), (3, 0.012524386), (4, 0.012524162), (5, 0.012531987), (6, 0.012545009), (7, 0.0125253545)]",0
一点 难吃 切开 白色 东西 客服 不理 慎买,"[(0, 0.013937856), (1, 0.013938223), (2, 0.013917906), (3, 0.013926061), (4, 0.5881379), (5, 0.013923599), (6, 0.32828745), (7, 0.013931014)]",4
假贝 南瓜 水叽 品质,"[(0, 0.025041005), (1, 0.025033964), (2, 0.025063425), (3, 0.8247535), (4, 0.025031678), (5, 0.025032023), (6, 0.025011051), (7, 0.025033267)]",3
假贝 忽悠 不好,"[(0, 0.031315666), (1, 0.031282444), (2, 0.031272035), (3, 0.78096956), (4, 0.031355936), (5, 0.03127558), (6, 0.031270072), (7, 0.031258702)]",3
大小不一 差太,"[(0, 0.041671798), (1, 0.38294262), (2, 0.041688748), (3, 0.041686706), (4, 0.041704815), (5, 0.041726746), (6, 0.041674253), (7, 0.36690435)]",1
好吃 不粉,"[(0, 0.04168966), (1, 0.041747395), (2, 0.041722137), (3, 0.041681986), (4, 0.04168547), (5, 0.041723344), (6, 0.04166993), (7, 0.70808005)]",7
不面 正宗 虚假 宣传,"[(0, 0.02501337), (1, 0.025050126), (2, 0.025020659), (3, 0.025015716), (4, 0.025011895), (5, 0.025013339), (6, 0.2846088), (7, 0.56526613)]",7
假货 煮熟 感觉 浪费 燃气,"[(0, 0.85379213), (1, 0.02091266), (2, 0.020914111), (3, 0.02087898), (4, 0.020864356), (5, 0.02087276), (6, 0.020863334), (7, 0.02090162)]",0
收到 小果 中果 理想,"[(0, 0.025054779), (1, 0.025064977), (2, 0.02507186), (3, 0.025040507), (4, 0.025020456), (5, 0.025103468), (6, 0.8245979), (7, 0.025046078)]",6
五个 三个,"[(0, 0.04173558), (1, 0.36591995), (2, 0.041710373), (3, 0.041676875), (4, 0.38388133), (5, 0.04171167), (6, 0.041689474), (7, 0.041674726)]",4
上当 水菜 干面,"[(0, 0.03130419), (1, 0.03130323), (2, 0.03131002), (3, 0.031296868), (4, 0.03129467), (5, 0.78085744), (6, 0.031312205), (7, 0.03132139)]",5
商品 直播间 描述 不符 口感 不好,"[(0, 0.01787093), (1, 0.017882057), (2, 0.01787607), (3, 0.017902428), (4, 0.8748535), (5, 0.017875295), (6, 0.017873365), (7, 0.017866336)]",4
水瓜 没主 播说 又粉,"[(0, 0.025053676), (1, 0.02504282), (2, 0.025041284), (3, 0.8246738), (4, 0.025044328), (5, 0.025038617), (6, 0.025073804), (7, 0.025031729)]",3
南瓜 照片,"[(0, 0.041714735), (1, 0.0418027), (2, 0.7078257), (3, 0.04175051), (4, 0.041693535), (5, 0.041672662), (6, 0.041688334), (7, 0.041851766)]",2
南瓜 差太,"[(0, 0.041680813), (1, 0.041705884), (2, 0.04168284), (3, 0.041691996), (4, 0.04167605), (5, 0.041691136), (6, 0.04167439), (7, 0.7081969)]",7
一点 好吃 已倒 垃圾桶,"[(0, 0.5476444), (1, 0.02510772), (2, 0.025060328), (3, 0.3018255), (4, 0.025068555), (5, 0.02513314), (6, 0.025044138), (7, 0.025116313)]",0
一点 水瓜,"[(0, 0.041814353), (1, 0.04183448), (2, 0.04174031), (3, 0.041708764), (4, 0.041747484), (5, 0.041829076), (6, 0.7075298), (7, 0.04179569)]",6
今早 三个,"[(0, 0.041829735), (1, 0.041921623), (2, 0.04178992), (3, 0.041738927), (4, 0.04173892), (5, 0.70750004), (6, 0.04174615), (7, 0.041734662)]",5
一点 收到,"[(0, 0.041781407), (1, 0.0418189), (2, 0.7075303), (3, 0.041721728), (4, 0.041738432), (5, 0.041822724), (6, 0.04177244), (7, 0.041814014)]",2
一点 甜味 口感 超级,"[(0, 0.025012828), (1, 0.02510109), (2, 0.025028119), (3, 0.025003977), (4, 0.025050921), (5, 0.82474506), (6, 0.025027808), (7, 0.02503022)]",5
太水 假贝 稀烂,"[(0, 0.031283576), (1, 0.03128522), (2, 0.03128738), (3, 0.031371567), (4, 0.03132223), (5, 0.031283703), (6, 0.7808334), (7, 0.031332895)]",6
南瓜 变质,"[(0, 0.7077782), (1, 0.04182942), (2, 0.041744035), (3, 0.041752517), (4, 0.041690458), (5, 0.041673925), (6, 0.04169233), (7, 0.041839104)]",0
南瓜 好吃 一点,"[(0, 0.03127988), (1, 0.031312507), (2, 0.031271577), (3, 0.03126871), (4, 0.03127046), (5, 0.03130276), (6, 0.03126246), (7, 0.78103167)]",7
中果 新鲜,"[(0, 0.041750144), (1, 0.04171491), (2, 0.041711655), (3, 0.041692138), (4, 0.041672517), (5, 0.7080174), (6, 0.041721784), (7, 0.041719474)]",5
一点 好吃 千万别,"[(0, 0.031302653), (1, 0.031328898), (2, 0.031281997), (3, 0.031258304), (4, 0.03126558), (5, 0.78101623), (6, 0.03125891), (7, 0.031287476)]",5
教训 晕倒,"[(0, 0.0417242), (1, 0.04170541), (2, 0.041705403), (3, 0.041705422), (4, 0.70799124), (5, 0.04170538), (6, 0.041705407), (7, 0.041757524)]",4
正宗 一点,"[(0, 0.041707896), (1, 0.70809144), (2, 0.041689523), (3, 0.041671358), (4, 0.04168441), (5, 0.041717283), (6, 0.041684113), (7, 0.041754026)]",1
斤数 没开 不知 味道,"[(0, 0.025052171), (1, 0.025073845), (2, 0.025110116), (3, 0.5253961), (4, 0.025036233), (5, 0.025036898), (6, 0.32422802), (7, 0.0250666)]",3
同一个 东西 差距 虚假 宣传,"[(0, 0.02088911), (1, 0.3204128), (2, 0.02086447), (3, 0.020862417), (4, 0.020852154), (5, 0.020861458), (6, 0.55439967), (7, 0.020857934)]",6
那种 痕水 南瓜 骗人,"[(0, 0.8246298), (1, 0.025070526), (2, 0.025068196), (3, 0.025044529), (4, 0.025033433), (5, 0.025046961), (6, 0.025029713), (7, 0.02507682)]",0
直播间 那种 板栗 稀软,"[(0, 0.025029868), (1, 0.025031319), (2, 0.025055448), (3, 0.02503578), (4, 0.025028603), (5, 0.025028601), (6, 0.025019167), (7, 0.8247712)]",7
大果 寄来 小果 失望,"[(0, 0.02510922), (1, 0.025104195), (2, 0.025074285), (3, 0.025037868), (4, 0.025035206), (5, 0.8244879), (6, 0.025056813), (7, 0.025094492)]",5
试吃 第一个 不粉 水棉,"[(0, 0.025028706), (1, 0.0250313), (2, 0.025043616), (3, 0.025020516), (4, 0.23820433), (5, 0.025058081), (6, 0.02502884), (7, 0.6115846)]",7
中号 一箱 开玩笑,"[(0, 0.7806907), (1, 0.031370047), (2, 0.03132687), (3, 0.031318102), (4, 0.031329665), (5, 0.031318784), (6, 0.031327646), (7, 0.03131814)]",0
直播 质量,"[(0, 0.04169475), (1, 0.041719463), (2, 0.0417305), (3, 0.041759506), (4, 0.041675072), (5, 0.04174102), (6, 0.7079548), (7, 0.041724887)]",6
收到 一点 不好 水浦,"[(0, 0.8245551), (1, 0.025051104), (2, 0.02506858), (3, 0.025061559), (4, 0.025069647), (5, 0.02505636), (6, 0.025076957), (7, 0.025060667)]",0
一点 难吃,"[(0, 0.041703124), (1, 0.70809543), (2, 0.041696146), (3, 0.04167407), (4, 0.0416942), (5, 0.04171826), (6, 0.041689582), (7, 0.041729152)]",1
收到 开箱 烂滴,"[(0, 0.03130682), (1, 0.031289607), (2, 0.03130935), (3, 0.78088796), (4, 0.031295974), (5, 0.031293504), (6, 0.031316135), (7, 0.031300656)]",3
假贝 一点 蒸熟 稀烂,"[(0, 0.025027445), (1, 0.025041988), (2, 0.025020165), (3, 0.025086733), (4, 0.02504565), (5, 0.025057718), (6, 0.025043434), (7, 0.8246768)]",7
难吃 南瓜,"[(0, 0.04168619), (1, 0.7081317), (2, 0.041696925), (3, 0.04169931), (4, 0.041684687), (5, 0.041673105), (6, 0.041680913), (7, 0.04174722)]",1
水蒸 出水 搞笑,"[(0, 0.031288628), (1, 0.58468133), (2, 0.031288646), (3, 0.03128867), (4, 0.03128867), (5, 0.03128863), (6, 0.2275742), (7, 0.03130121)]",1
一点 像是,"[(0, 0.041766204), (1, 0.041724216), (2, 0.041686643), (3, 0.04167226), (4, 0.041694514), (5, 0.041746713), (6, 0.04169207), (7, 0.70801735)]",7
东西 评论 南瓜,"[(0, 0.7809616), (1, 0.031333316), (2, 0.031283), (3, 0.031298608), (4, 0.031261943), (5, 0.031266075), (6, 0.031266358), (7, 0.031329107)]",0
买回来 描述,"[(0, 0.041687783), (1, 0.041712247), (2, 0.041700244), (3, 0.35345155), (4, 0.041707426), (5, 0.041737832), (6, 0.0417149), (7, 0.39628804)]",7
大小不一 外边 菜市场,"[(0, 0.031290162), (1, 0.78094476), (2, 0.031292636), (3, 0.031292584), (4, 0.03129556), (5, 0.03130389), (6, 0.031290192), (7, 0.03129023)]",1
好吃 南瓜 不粉 不甜,"[(0, 0.025016934), (1, 0.8248348), (2, 0.025034182), (3, 0.025015274), (4, 0.025009189), (5, 0.025021851), (6, 0.025008095), (7, 0.02505966)]",1
几天 一点 好吃,"[(0, 0.031292293), (1, 0.031313486), (2, 0.37999424), (3, 0.031266995), (4, 0.03128438), (5, 0.43226963), (6, 0.03126566), (7, 0.031313296)]",5
好吃 不粉 一股 酸味,"[(0, 0.39817336), (1, 0.025043467), (2, 0.0250374), (3, 0.02502488), (4, 0.025031647), (5, 0.025035636), (6, 0.025029607), (7, 0.45162404)]",7
欺骗 消费者 黑心 商家,"[(0, 0.025006197), (1, 0.025030054), (2, 0.025030034), (3, 0.02501524), (4, 0.025107816), (5, 0.02502562), (6, 0.82477206), (7, 0.025013005)]",6
一点 甜味,"[(0, 0.041701227), (1, 0.7081253), (2, 0.041689683), (3, 0.041671656), (4, 0.041686047), (5, 0.04172628), (6, 0.041693114), (7, 0.04170674)]",1
南瓜 售后 承认,"[(0, 0.031275563), (1, 0.03131873), (2, 0.031275794), (3, 0.03134929), (4, 0.03128915), (5, 0.53684515), (6, 0.031272843), (7, 0.27537352)]",5
一点 南瓜,"[(0, 0.04172012), (1, 0.04176919), (2, 0.0416992), (3, 0.04169463), (4, 0.041692983), (5, 0.041723896), (6, 0.041691493), (7, 0.70800847)]",7
大小 均匀 两个,"[(0, 0.031278405), (1, 0.031259548), (2, 0.7810881), (3, 0.03126273), (4, 0.031283084), (5, 0.03130676), (6, 0.03126586), (7, 0.031255525)]",2
不粉 好吃 伤果,"[(0, 0.03129674), (1, 0.031349204), (2, 0.780715), (3, 0.031294234), (4, 0.03130193), (5, 0.03136401), (6, 0.031276736), (7, 0.031402156)]",2
不粉 直播间 失望,"[(0, 0.031288818), (1, 0.03131419), (2, 0.7810121), (3, 0.031275835), (4, 0.03126765), (5, 0.031267736), (6, 0.03127061), (7, 0.031303067)]",2
口感 不好 南瓜,"[(0, 0.031316616), (1, 0.031403013), (2, 0.031312194), (3, 0.031344783), (4, 0.780632), (5, 0.031267416), (6, 0.031277936), (7, 0.03144603)]",4
南瓜 理想 正宗 南瓜,"[(0, 0.025014777), (1, 0.82487595), (2, 0.025018005), (3, 0.02501973), (4, 0.025007965), (5, 0.025005613), (6, 0.025011664), (7, 0.025046261)]",1
真的 一点 不好 十分钟 完去,"[(0, 0.020887299), (1, 0.020930907), (2, 0.02087106), (3, 0.020870708), (4, 0.020898147), (5, 0.8538019), (6, 0.020866418), (7, 0.020873545)]",5
两个 口感 不好 南瓜 新鲜,"[(0, 0.02086588), (1, 0.37930253), (2, 0.020859957), (3, 0.02085247), (4, 0.49552044), (5, 0.020869734), (6, 0.02086162), (7, 0.0208674)]",4
新鲜 难吃 虫子 特别 难吃 一点 甜味,"[(0, 0.015653089), (1, 0.89036655), (2, 0.015670273), (3, 0.015642138), (4, 0.015638538), (5, 0.015675887), (6, 0.015651517), (7, 0.015702015)]",1
买到 主播 只能 瓜子,"[(0, 0.025036776), (1, 0.025062304), (2, 0.02503666), (3, 0.025040196), (4, 0.025059327), (5, 0.82461834), (6, 0.025086414), (7, 0.025059981)]",5
宣传 软乎 那种 喜欢,"[(0, 0.02502971), (1, 0.025031596), (2, 0.025054136), (3, 0.025017735), (4, 0.025019065), (5, 0.0250384), (6, 0.02505336), (7, 0.82475597)]",7
南瓜 南瓜 上次 不好 黄色,"[(0, 0.02087189), (1, 0.020871988), (2, 0.020850386), (3, 0.8539673), (4, 0.02088351), (5, 0.020843673), (6, 0.020843325), (7, 0.020867905)]",3
描述 相符 一点 不面 不甜 骗人 上当,"[(0, 0.01564085), (1, 0.89045936), (2, 0.015650047), (3, 0.015662573), (4, 0.01563698), (5, 0.01565955), (6, 0.015647616), (7, 0.015643016)]",1
感觉 南瓜 一点 不面 一会 拿不起来 南瓜 颜色 新鲜,"[(0, 0.012525246), (1, 0.9123545), (2, 0.012523318), (3, 0.012509169), (4, 0.012509901), (5, 0.012526556), (6, 0.012511612), (7, 0.012539715)]",1
收到 南瓜 水份 一不面 不知 收到,"[(0, 0.017887374), (1, 0.017914163), (2, 0.017895855), (3, 0.017903225), (4, 0.017877888), (5, 0.017872687), (6, 0.8747251), (7, 0.017923666)]",6
没法,"[(0, 0.06259566), (1, 0.062516704), (2, 0.062506855), (3, 0.06250329), (4, 0.06266733), (5, 0.56197965), (6, 0.06267704), (7, 0.06255348)]",5
好吃 第一次 好吃 品质 稳定,"[(0, 0.50803864), (1, 0.020868741), (2, 0.020866862), (3, 0.020855132), (4, 0.020860584), (5, 0.36679155), (6, 0.02084258), (7, 0.020875938)]",0
第三次 购买 两次 还好 好吃 买回来 星期 南瓜 感觉 上当,"[(0, 0.011384242), (1, 0.011376696), (2, 0.15043812), (3, 0.15218434), (4, 0.01136817), (5, 0.3109673), (6, 0.011379471), (7, 0.3409017)]",7
两次 买回来 糟糕 水瓜 不甜,"[(0, 0.020856049), (1, 0.020873941), (2, 0.020868069), (3, 0.020852722), (4, 0.020847294), (5, 0.02086712), (6, 0.6978358), (7, 0.17699902)]",6
蒸熟 上当,"[(0, 0.041703288), (1, 0.041735798), (2, 0.041724097), (3, 0.041680723), (4, 0.04168587), (5, 0.70803076), (6, 0.041728467), (7, 0.041710977)]",5
两大两 一颗 懒得,"[(0, 0.031367883), (1, 0.031347875), (2, 0.03134695), (3, 0.03131014), (4, 0.0314046), (5, 0.5093751), (6, 0.031313904), (7, 0.3025335)]",5
第二次 购买 失望 不甜 不面 水淡 成熟 不好,"[(0, 0.26341796), (1, 0.013927639), (2, 0.013911699), (3, 0.013903788), (4, 0.013915349), (5, 0.01390692), (6, 0.013907245), (7, 0.6531094)]",7
贝瓜,"[(0, 0.062513925), (1, 0.06253142), (2, 0.06269127), (3, 0.06251394), (4, 0.5621557), (5, 0.06254942), (6, 0.06253032), (7, 0.06251395)]",4
上次 南瓜 回购 上次 皮厚 好吃,"[(0, 0.13831711), (1, 0.017890356), (2, 0.017880168), (3, 0.75436884), (4, 0.017870545), (5, 0.017900918), (6, 0.017874017), (7, 0.0178981)]",3
特多 难吃 钻人 骗人,"[(0, 0.025052454), (1, 0.025213392), (2, 0.025090614), (3, 0.025048269), (4, 0.025069606), (5, 0.82437897), (6, 0.025058832), (7, 0.025087839)]",5
